Date,aaplopen,aaplclose,aapllow,aaplhigh,aaplvolume
2010-08-27,34.53571319580078,34.51714324951172,33.65142822265625,34.658573150634766,137097800.0
2010-08-30,34.394287109375,34.64285659790039,34.38285827636719,35.10714340209961,95822300.0
2010-08-31,34.54999923706055,34.728572845458984,34.33571243286133,34.93714141845703,105196700.0
2010-09-01,35.35285568237305,35.76142883300781,35.182857513427734,35.922855377197266,174259400.0
2010-09-02,35.894287109375,36.02428436279297,35.5099983215332,36.02428436279297,103856900.0
2010-09-03,36.441429138183594,36.96714401245117,36.35714340209961,36.968570709228516,130197200.0
2010-09-07,36.66285705566406,36.83000183105469,36.60714340209961,37.075714111328125,85639400.0
2010-09-08,37.111427307128906,37.560001373291016,37.014286041259766,37.77000045776367,131637800.0
2010-09-09,37.862857818603516,37.58142852783203,37.560001373291016,38.07428741455078,109643800.0
2010-09-10,37.59857177734375,37.630001068115234,37.342857360839844,37.78571319580078,96885600.0
2010-09-13,37.97428512573242,38.1485710144043,37.96571350097656,38.325714111328125,97195000.0
2010-09-14,38.029998779296875,38.29428482055664,37.931427001953125,38.452857971191406,102037600.0
2010-09-15,38.310001373291016,38.60285568237305,38.262855529785156,38.62571334838867,107342200.0
2010-09-16,38.605712890625,39.5099983215332,38.5,39.52428436279297,163025800.0
2010-09-17,39.66999816894531,39.33856964111328,39.09714126586914,39.70857238769531,158619300.0
2010-09-20,39.439998626708984,40.461429595947266,39.407142639160156,40.540000915527344,164669400.0
2010-09-21,40.551429748535156,40.538570404052734,40.3985710144043,41.04999923706055,167018600.0
2010-09-22,40.387142181396484,41.10714340209961,40.34428405761719,41.13999938964844,146322400.0
2010-09-23,40.9042854309082,41.27428436279297,40.85714340209961,41.82285690307617,196529200.0
2010-09-24,41.728572845458984,41.7599983215332,41.50714111328125,41.932857513427734,162372000.0
2010-09-27,41.99714279174805,41.59428405761719,41.57285690307617,42.104286193847656,120708700.0
2010-09-28,41.681427001953125,40.97999954223633,39.28571319580078,41.681427001953125,258760600.0
2010-09-29,41.03285598754883,41.0528564453125,40.85714340209961,41.40142822265625,117411000.0
2010-09-30,41.28571319580078,40.53571319580078,40.17856979370117,41.42856979370117,168347900.0
2010-10-01,40.878570556640625,40.36000061035156,40.19285583496094,40.939998626708984,112035700.0
2010-10-04,40.228572845458984,39.80571365356445,39.681427001953125,40.41428756713867,108825500.0
2010-10-05,40.28571319580078,41.27714157104492,40.2599983215332,41.349998474121094,125491800.0
2010-10-06,41.369998931884766,41.31285858154297,40.751426696777344,41.71285629272461,167717200.0
2010-10-07,41.477142333984375,41.317142486572266,40.987144470214844,41.49714279174805,102099900.0
2010-10-08,41.672855377197266,42.0099983215332,41.42856979370117,42.07143020629883,164600800.0
2010-10-11,42.105712890625,42.19428634643555,42.08571243286133,42.46285629272461,106938300.0
2010-10-12,42.2014274597168,42.6485710144043,41.78428649902344,42.78571319580078,139636000.0
2010-10-13,42.88571548461914,42.87714385986328,42.82857131958008,43.137142181396484,157523100.0
2010-10-14,43.09857177734375,43.18714141845703,42.91428756713867,43.209999084472656,108824100.0
2010-10-15,43.91999816894531,44.96285629272461,43.558570861816406,45.0,230548500.0
2010-10-18,45.4957160949707,45.42856979370117,44.8985710144043,45.57143020629883,273252700.0
2010-10-19,43.342857360839844,44.21285629272461,42.86000061035156,44.82428741455078,308196000.0
2010-10-20,44.14285659790039,44.361427307128906,43.83856964111328,44.89285659790039,180406100.0
2010-10-21,44.62285614013672,44.21714401245117,43.82857131958008,44.96285629272461,137865000.0
2010-10-22,44.15285873413086,43.924285888671875,43.75714111328125,44.29142761230469,93194500.0
2010-10-25,44.15571594238281,44.119998931884766,44.06285858154297,44.514286041259766,98115500.0
2010-10-26,43.83856964111328,44.00714111328125,43.66428756713867,44.248573303222656,98232400.0
2010-10-27,43.95000076293945,43.97571563720703,43.657142639160156,44.271427154541016,99750700.0
2010-10-28,43.99285888671875,43.605712890625,42.985713958740234,44.0,137762800.0
2010-10-29,43.461429595947266,42.99714279174805,42.98143005371094,43.6971435546875,107627800.0
2010-11-01,43.174285888671875,43.45428466796875,43.17142868041992,43.657142639160156,105972300.0
2010-11-02,43.85714340209961,44.19428634643555,43.85714340209961,44.31285858154297,108482500.0
2010-11-03,44.48143005371094,44.68571472167969,44.075714111328125,44.6971435546875,127087100.0
2010-11-04,45.06428527832031,45.46714401245117,45.0042839050293,45.7400016784668,160622000.0
2010-11-05,45.42714309692383,45.30428695678711,45.25,45.65285873413086,90313300.0
