Date,dhropen,dhrclose,dhrlow,dhrhigh,dhrvolume
2013-07-26,50.636844635009766,50.58377456665039,50.439727783203125,50.796058654785156,3133200.0
2013-07-29,50.39423751831055,50.94010543823242,50.2047004699707,50.97801208496094,2829700.0
2013-07-30,51.144805908203125,50.92494201660156,50.902198791503906,51.44806671142578,2780800.0
2013-07-31,50.947689056396484,51.053829193115234,50.92494201660156,51.53904342651367,3128400.0
2013-08-01,51.41773986816406,51.281272888183594,51.281272888183594,51.69825744628906,3677500.0
2013-08-02,51.2736930847168,50.97043228149414,50.773311614990234,51.2736930847168,2737100.0
2013-08-05,50.87187194824219,50.88703536987305,50.71266174316406,50.9931755065918,2100900.0
2013-08-06,50.88703536987305,50.83396530151367,50.62926483154297,50.92494201660156,2652100.0
2013-08-07,50.796058654785156,51.16755294799805,50.64442825317383,51.22062301635742,3086300.0
2013-08-08,51.4025764465332,51.04624557495117,50.97043228149414,51.53904342651367,2692300.0
2013-08-09,51.00075912475586,50.788475036621094,50.73540496826172,51.09931945800781,2054000.0
2013-08-12,50.44730758666992,50.43214416503906,50.2880973815918,50.705078125,2785700.0
2013-08-13,50.439727783203125,51.2736930847168,50.39423751831055,51.34192657470703,2321900.0
2013-08-14,51.09931945800781,50.545867919921875,50.454891204833984,51.13722610473633,2287600.0
2013-08-15,50.37149429321289,50.424564361572266,49.946929931640625,50.86429214477539,3190900.0
2013-08-16,50.424564361572266,50.59135818481445,50.27293395996094,50.667171478271484,2872300.0
2013-08-19,50.4169807434082,50.68991470336914,50.38665771484375,51.008338928222656,2575200.0
2013-08-20,50.72024154663086,50.280513763427734,50.2047004699707,50.72024154663086,3152900.0
2013-08-21,50.21986389160156,50.174373626708984,50.07581329345703,50.545867919921875,2554700.0
2013-08-22,50.34116744995117,51.01592254638672,50.23502731323242,51.20545959472656,2210500.0
2013-08-23,51.038665771484375,51.053829193115234,50.75815200805664,51.20545959472656,2350300.0
2013-08-26,50.97043228149414,50.52312469482422,50.50796127319336,51.16755294799805,2126300.0
2013-08-27,49.855953216552734,49.5830192565918,49.47687530517578,49.98483657836914,3179900.0
2013-08-28,49.4996223449707,49.4996223449707,49.32524490356445,49.81804275512695,2076700.0
2013-08-29,49.347991943359375,49.74222946166992,49.11296463012695,50.197120666503906,1700900.0
2013-08-30,49.840789794921875,49.67399597167969,49.469295501708984,49.90143966674805,2021400.0
2013-09-03,50.13646697998047,49.93934631347656,49.74222946166992,50.4927978515625,2234100.0
2013-09-04,49.802879333496094,50.80363845825195,49.802879333496094,50.902198791503906,2787500.0
2013-09-05,50.75056838989258,50.962852478027344,50.545867919921875,51.114479064941406,1826600.0
2013-09-06,51.038665771484375,50.667171478271484,50.34874725341797,51.24336624145508,2599400.0
2013-09-09,50.811222076416016,51.288856506347656,50.811222076416016,51.36466979980469,1805500.0
2013-09-10,51.690673828125,51.902957916259766,51.59969711303711,52.266868591308594,3072000.0
2013-09-11,51.95602798461914,52.547386169433594,51.85746765136719,52.547386169433594,2753000.0
2013-09-12,52.55496597290039,52.653526306152344,52.35026550292969,52.729339599609375,3295300.0
2013-09-13,52.78240966796875,52.888553619384766,52.31993865966797,52.90371322631836,3255000.0
2013-09-16,53.38134765625,53.15390396118164,52.971946716308594,53.55572509765625,3707700.0
2013-09-17,53.21455764770508,53.09325408935547,52.956787109375,53.449581146240234,3432000.0
2013-09-18,53.07050704956055,53.44200134277344,52.82789993286133,53.487491607666016,3559400.0
2013-09-19,53.661865234375,53.28279113769531,53.237300872802734,53.78316879272461,5248300.0
2013-09-20,53.313114166259766,52.744503021240234,52.744503021240234,53.61637496948242,6759000.0
2013-09-23,52.532222747802734,52.729339599609375,52.49431228637695,52.8809700012207,2846600.0
2013-09-24,52.759666442871094,52.266868591308594,52.22896194458008,52.80515670776367,3114500.0
2013-09-25,52.42607879638672,52.73692321777344,52.16830825805664,52.89613342285156,3432800.0
2013-09-26,52.78240966796875,52.89613342285156,52.58529281616211,53.1766471862793,2266100.0
2013-09-27,52.79757308959961,52.971946716308594,52.638362884521484,53.10841369628906,3134200.0
2013-09-30,52.56254577636719,52.55496597290039,52.3881721496582,52.91129684448242,3525500.0
2013-10-01,52.653526306152344,52.6686897277832,52.395755767822266,52.79757308959961,3222000.0
2013-10-02,52.43366241455078,52.410919189453125,51.84230422973633,52.43366241455078,3105700.0
