Date,tripopen,tripclose,triplow,triphigh,tripvolume
2013-08-26,71.72000122070312,72.25,71.5,72.63999938964844,1137200
2013-08-27,71.20999908447266,71.08000183105469,70.5999984741211,71.77999877929688,1403400
2013-08-28,71.51000213623047,72.5199966430664,71.16000366210938,73.16000366210938,1119500
2013-08-29,72.31999969482422,74.18000030517578,71.27999877929688,74.61000061035156,1009100
2013-08-30,74.63999938964844,73.97000122070312,72.5999984741211,74.66999816894531,1054000
2013-09-03,74.9000015258789,73.81999969482422,72.76000213623047,75.30999755859375,1132500
2013-09-04,74.0199966430664,74.73999786376953,73.31999969482422,74.95999908447266,602600
2013-09-05,74.61000061035156,74.66999816894531,74.16999816894531,75.7300033569336,1000800
2013-09-06,74.95999908447266,74.11000061035156,73.05000305175781,75.47000122070312,1012000
2013-09-09,74.52999877929688,74.5,74.29000091552734,75.19999694824219,1198700
2013-09-10,74.25,72.62000274658203,72.25,74.63999938964844,2319300
2013-09-11,72.52999877929688,73.79000091552734,72.41999816894531,74.4000015258789,1645600
2013-09-12,73.93000030517578,74.48999786376953,73.8499984741211,75.9000015258789,1258000
2013-09-13,74.37000274658203,72.81999969482422,72.41999816894531,74.37000274658203,1291000
2013-09-16,73.83000183105469,72.5999984741211,72.55999755859375,74.16000366210938,745800
2013-09-17,73.4000015258789,72.93000030517578,72.11000061035156,73.45999908447266,853600
2013-09-18,73.13999938964844,73.91999816894531,72.5,74.61000061035156,1645500
2013-09-19,74.31999969482422,74.2699966430664,73.13999938964844,75.0,1196300
2013-09-20,74.2699966430664,75.12000274658203,74.25,79.08000183105469,4442400
2013-09-23,77.0,74.30000305175781,73.54000091552734,78.16999816894531,2376600
2013-09-24,74.1500015258789,75.30000305175781,73.12000274658203,75.73999786376953,1212700
2013-09-25,75.29000091552734,74.77999877929688,74.05999755859375,75.91999816894531,1245500
2013-09-26,74.98999786376953,75.30000305175781,74.58000183105469,75.88999938964844,883800
2013-09-27,75.0,75.8499984741211,74.0999984741211,76.08999633789062,1048800
2013-09-30,74.72000122070312,75.83999633789062,74.16000366210938,76.61000061035156,1339300
2013-10-01,75.73999786376953,78.5,75.30000305175781,78.5999984741211,1755500
2013-10-02,78.1500015258789,79.66000366210938,77.61000061035156,79.79000091552734,1779300
2013-10-03,79.51000213623047,78.66000366210938,77.30999755859375,79.88999938964844,1705700
2013-10-04,78.3499984741211,78.41000366210938,78.0,79.45999908447266,1706600
2013-10-07,77.88999938964844,75.8499984741211,75.66000366210938,78.0,1752000
2013-10-08,75.73999786376953,71.69999694824219,70.87000274658203,75.83000183105469,2973200
2013-10-09,71.22000122070312,70.66999816894531,68.11000061035156,72.06999969482422,2673600
2013-10-10,71.87999725341797,72.2699966430664,70.1500015258789,72.81999969482422,2368100
2013-10-11,72.3499984741211,74.01000213623047,72.12000274658203,74.37999725341797,2875400
2013-10-14,73.4000015258789,75.01000213623047,72.54000091552734,75.06999969482422,3288400
2013-10-15,75.2300033569336,73.87000274658203,73.5,75.43000030517578,3511200
2013-10-16,74.41000366210938,75.0,73.75,75.3499984741211,2524700
2013-10-17,74.83999633789062,72.73999786376953,72.08000183105469,74.83999633789062,2517700
2013-10-18,73.12999725341797,71.87000274658203,71.5999984741211,73.5,2557300
2013-10-21,72.0999984741211,74.11000061035156,72.05000305175781,74.1500015258789,2517600
2013-10-22,75.5999984741211,75.5,73.13999938964844,77.30000305175781,3555900
2013-10-23,75.05000305175781,75.20999908447266,73.1500015258789,75.9800033569336,4724600
2013-10-24,72.0,74.8499984741211,69.33000183105469,75.1500015258789,10534800
2013-10-25,75.30000305175781,76.9800033569336,74.95999908447266,77.56999969482422,3246200
2013-10-28,76.88999938964844,77.79000091552734,75.87999725341797,78.22000122070312,2266300
2013-10-29,77.8499984741211,82.26000213623047,77.51000213623047,82.3499984741211,3277500
2013-10-30,82.4800033569336,80.22000122070312,79.62999725341797,83.0,3152600
2013-10-31,81.5,82.72000122070312,81.19999694824219,84.63999938964844,3513300
2013-11-01,83.08000183105469,83.37999725341797,82.20999908447266,84.0999984741211,1793100
2013-11-04,84.0,88.22000122070312,83.41999816894531,88.41000366210938,3270900
2013-11-05,88.05999755859375,88.06999969482422,86.3499984741211,89.47000122070312,2781100
2013-11-06,88.01000213623047,86.61000061035156,86.0999984741211,88.68000030517578,1919700
