Date,chkopen,chkclose,chklow,chkhigh,chkvolume
2018-09-04,4.460000038146973,4.309999942779541,4.289999961853027,4.489999771118164,25881300.0
2018-09-05,4.269999980926514,4.309999942779541,4.21999979019165,4.360000133514404,21074900.0
2018-09-06,4.300000190734863,4.059999942779541,4.050000190734863,4.309999942779541,31173900.0
2018-09-07,4.010000228881836,4.03000020980835,3.880000114440918,4.110000133514404,35434800.0
2018-09-10,4.050000190734863,4.079999923706055,4.039999961853027,4.150000095367432,20438500.0
2018-09-11,4.070000171661377,4.059999942779541,4.0,4.110000133514404,24956600.0
2018-09-12,4.119999885559082,4.059999942779541,4.010000228881836,4.139999866485596,23625300.0
2018-09-13,4.019999980926514,4.010000228881836,3.990000009536743,4.090000152587891,23244900.0
2018-09-14,4.010000228881836,4.0,3.950000047683716,4.059999942779541,24365200.0
2018-09-17,4.0,3.9800000190734863,3.9800000190734863,4.059999942779541,16013500.0
2018-09-18,4.050000190734863,4.130000114440918,4.0,4.159999847412109,23675800.0
2018-09-19,4.119999885559082,4.300000190734863,4.119999885559082,4.340000152587891,19876100.0
2018-09-20,4.349999904632568,4.409999847412109,4.329999923706055,4.489999771118164,29183900.0
2018-09-21,4.420000076293945,4.440000057220459,4.400000095367432,4.510000228881836,31025600.0
2018-09-24,4.579999923706055,4.670000076293945,4.550000190734863,4.690000057220459,29771500.0
2018-09-25,4.699999809265137,4.619999885559082,4.610000133514404,4.75,25320000.0
2018-09-26,4.550000190734863,4.400000095367432,4.400000095367432,4.599999904632568,24923100.0
2018-09-27,4.480000019073486,4.460000038146973,4.429999828338623,4.550000190734863,18358600.0
2018-09-28,4.429999828338623,4.489999771118164,4.420000076293945,4.539999961853027,15293300.0
2018-10-01,4.53000020980835,4.579999923706055,4.46999979019165,4.619999885559082,23942300.0
2018-10-02,4.590000152587891,4.519999980926514,4.440000057220459,4.599999904632568,20439000.0
2018-10-03,4.539999961853027,4.730000019073486,4.449999809265137,4.739999771118164,25406400.0
2018-10-04,4.679999828338623,4.590000152587891,4.53000020980835,4.730000019073486,24567500.0
2018-10-05,4.559999942779541,4.480000019073486,4.429999828338623,4.599999904632568,18216100.0
2018-10-08,4.440000057220459,4.670000076293945,4.420000076293945,4.690000057220459,20913900.0
2018-10-09,4.699999809265137,4.869999885559082,4.659999847412109,4.980000019073486,37114800.0
2018-10-10,4.880000114440918,4.610000133514404,4.610000133514404,4.900000095367432,38011500.0
