Date,dinopen,dinclose,dinlow,dinhigh,dinvolume
2008-05-07,49.060001373291016,49.38999938964844,49.060001373291016,51.0,381300.0
2008-05-08,49.43000030517578,49.90999984741211,48.22999954223633,49.93000030517578,460100.0
2008-05-09,49.36000061035156,49.290000915527344,49.02000045776367,50.29999923706055,471800.0
2008-05-12,49.470001220703125,51.27000045776367,49.25,51.75,217700.0
2008-05-13,51.27000045776367,50.689998626708984,50.349998474121094,51.380001068115234,153700.0
2008-05-14,50.869998931884766,51.09000015258789,50.5,51.279998779296875,218000.0
2008-05-15,50.88999938964844,52.29999923706055,50.470001220703125,52.72999954223633,146600.0
2008-05-16,52.9900016784668,52.130001068115234,50.91999816894531,52.9900016784668,423100.0
2008-05-19,51.599998474121094,50.29999923706055,50.04999923706055,52.9900016784668,256800.0
2008-05-20,50.290000915527344,51.279998779296875,50.290000915527344,53.5,375200.0
2008-05-21,51.20000076293945,48.22999954223633,48.0099983215332,51.20000076293945,315800.0
2008-05-22,49.529998779296875,47.189998626708984,46.529998779296875,49.529998779296875,289300.0
2008-05-23,47.09000015258789,47.709999084472656,46.61000061035156,48.060001373291016,193100.0
2008-05-27,47.619998931884766,47.880001068115234,47.5,48.5,124100.0
2008-05-28,47.97999954223633,47.7599983215332,46.79999923706055,48.310001373291016,128100.0
2008-05-29,47.560001373291016,47.689998626708984,47.34000015258789,48.119998931884766,95300.0
2008-05-30,47.310001373291016,46.88999938964844,46.11000061035156,47.52000045776367,332000.0
2008-06-02,46.400001525878906,44.58000183105469,44.34000015258789,46.599998474121094,197000.0
2008-06-03,42.83000183105469,43.20000076293945,42.5099983215332,44.93000030517578,353400.0
2008-06-04,44.0,43.290000915527344,42.81999969482422,44.09000015258789,295200.0
2008-06-05,43.150001525878906,43.459999084472656,42.220001220703125,44.310001373291016,239900.0
2008-06-06,43.099998474121094,42.439998626708984,41.650001525878906,43.27000045776367,359100.0
2008-06-09,43.08000183105469,42.54999923706055,42.119998931884766,47.77000045776367,483200.0
2008-06-10,42.310001373291016,42.400001525878906,41.65999984741211,42.869998931884766,218500.0
2008-06-11,41.939998626708984,41.5,40.88999938964844,42.189998626708984,178900.0
2008-06-12,42.2400016784668,42.52000045776367,42.15999984741211,43.689998626708984,217200.0
2008-06-13,43.36000061035156,43.400001525878906,43.13999938964844,44.90999984741211,226100.0
2008-06-16,43.0099983215332,44.349998474121094,42.90999984741211,44.52000045776367,109300.0
2008-06-17,44.900001525878906,46.22999954223633,44.900001525878906,47.9900016784668,339100.0
2008-06-18,46.310001373291016,44.34000015258789,43.810001373291016,47.0,194400.0
2008-06-19,44.33000183105469,44.0099983215332,43.400001525878906,44.58000183105469,140900.0
2008-06-20,44.0,42.18000030517578,41.40999984741211,44.72999954223633,274500.0
2008-06-23,42.970001220703125,39.45000076293945,39.369998931884766,43.0,276100.0
2008-06-24,39.15999984741211,39.25,38.290000915527344,40.4900016784668,270900.0
2008-06-25,39.150001525878906,41.0099983215332,39.150001525878906,42.61000061035156,116100.0
2008-06-26,40.63999938964844,38.439998626708984,38.0,40.63999938964844,207100.0
2008-06-27,38.400001525878906,36.52000045776367,36.310001373291016,38.470001220703125,379400.0
2008-06-30,35.650001525878906,37.36000061035156,35.650001525878906,37.790000915527344,217400.0
2008-07-01,36.599998474121094,36.11000061035156,34.43000030517578,36.599998474121094,349900.0
2008-07-02,35.900001525878906,34.279998779296875,34.08000183105469,35.900001525878906,185100.0
2008-07-03,34.279998779296875,34.75,33.459999084472656,35.849998474121094,388800.0
2008-07-07,35.0,35.75,34.29999923706055,36.540000915527344,185100.0
2008-07-08,35.79999923706055,38.689998626708984,35.709999084472656,38.97999954223633,274600.0
2008-07-09,38.689998626708984,36.630001068115234,36.5,38.959999084472656,172600.0
2008-07-10,36.630001068115234,34.36000061035156,34.09000015258789,36.630001068115234,146000.0
2008-07-11,32.20000076293945,27.020000457763672,24.030000686645508,32.5,1314500.0
2008-07-14,27.09000015258789,22.790000915527344,22.729999542236328,28.540000915527344,980700.0
2008-07-15,22.389999389648438,20.799999237060547,18.68000030517578,22.489999771118164,1075300.0
2008-07-16,21.6299991607666,21.239999771118164,20.010000228881836,21.850000381469727,350400.0
2008-07-17,22.079999923706055,22.469999313354492,20.860000610351562,23.329999923706055,312300.0
2008-07-18,22.690000534057617,22.8700008392334,22.209999084472656,23.520000457763672,279100.0
2008-07-21,22.989999771118164,23.049999237060547,22.559999465942383,23.700000762939453,179400.0
2008-07-22,22.5,24.399999618530273,21.719999313354492,26.1200008392334,433700.0
2008-07-23,24.600000381469727,28.760000228881836,24.270000457763672,28.860000610351562,440300.0
2008-07-24,28.780000686645508,25.170000076293945,25.059999465942383,28.780000686645508,253200.0
2008-07-25,25.059999465942383,25.5,25.010000228881836,26.25,188700.0
2008-07-28,26.110000610351562,24.450000762939453,23.549999237060547,26.110000610351562,211000.0
2008-07-29,24.520000457763672,23.43000030517578,21.639999389648438,25.549999237060547,691500.0
2008-07-30,23.860000610351562,23.260000228881836,22.459999084472656,23.860000610351562,410700.0
2008-07-31,23.1299991607666,23.100000381469727,22.690000534057617,23.350000381469727,153100.0
2008-08-01,23.170000076293945,23.0,22.520000457763672,23.170000076293945,214000.0
2008-08-04,23.489999771118164,22.809999465942383,21.920000076293945,23.489999771118164,321200.0
2008-08-05,23.770000457763672,24.209999084472656,23.09000015258789,24.959999084472656,265300.0
2008-08-06,24.25,25.489999771118164,23.520000457763672,25.959999084472656,378900.0
2008-08-07,25.200000762939453,25.479999542236328,24.579999923706055,25.579999923706055,218200.0
2008-08-08,26.0,27.709999084472656,25.700000762939453,28.030000686645508,204000.0
2008-08-11,26.959999084472656,28.280000686645508,26.959999084472656,31.18000030517578,230000.0
2008-08-12,28.239999771118164,28.6299991607666,27.90999984741211,29.729999542236328,193100.0
2008-08-13,28.75,26.040000915527344,25.799999237060547,30.729999542236328,517900.0
2008-08-14,26.059999465942383,25.65999984741211,25.600000381469727,27.0,228300.0
2008-08-15,26.790000915527344,24.459999084472656,24.3799991607666,26.790000915527344,377400.0
2008-08-18,24.889999389648438,21.760000228881836,21.600000381469727,24.889999389648438,671800.0
2008-08-19,21.600000381469727,21.0,20.280000686645508,21.600000381469727,401800.0
2008-08-20,21.1200008392334,20.15999984741211,19.899999618530273,21.229999542236328,254300.0
2008-08-21,19.989999771118164,19.719999313354492,19.350000381469727,20.170000076293945,191800.0
2008-08-22,19.510000228881836,20.3700008392334,19.510000228881836,20.690000534057617,203100.0
2008-08-25,20.09000015258789,19.790000915527344,18.75,21.219999313354492,158700.0
2008-08-26,19.049999237060547,19.399999618530273,18.600000381469727,19.6200008392334,223800.0
2008-08-27,19.219999313354492,17.950000762939453,17.84000015258789,19.399999618530273,367000.0
2008-08-28,20.049999237060547,19.8799991607666,17.649999618530273,20.049999237060547,308600.0
2008-08-29,19.530000686645508,19.860000610351562,19.270000457763672,20.34000015258789,129900.0
2008-09-02,20.049999237060547,22.1200008392334,20.049999237060547,23.350000381469727,720400.0
2008-09-03,21.8700008392334,22.270000457763672,21.670000076293945,22.610000610351562,531400.0
2008-09-04,22.079999923706055,22.010000228881836,21.639999389648438,22.18000030517578,197600.0
2008-09-05,21.719999313354492,22.229999542236328,21.239999771118164,22.329999923706055,228400.0
2008-09-08,23.829999923706055,23.969999313354492,22.790000915527344,24.43000030517578,274900.0
2008-09-09,21.350000381469727,17.770000457763672,17.68000030517578,22.389999389648438,980700.0
2008-09-10,18.0,18.030000686645508,16.209999084472656,19.0,824100.0
2008-09-11,17.520000457763672,17.729999542236328,16.790000915527344,17.780000686645508,410700.0
2008-09-12,17.739999771118164,17.530000686645508,17.18000030517578,18.639999389648438,327900.0
2008-09-15,16.75,15.3100004196167,14.90999984741211,17.549999237060547,535000.0
2008-09-16,15.989999771118164,17.989999771118164,15.0,18.690000534057617,679700.0
