Date,yopen,yclose,ylow,yhigh,yvolume
2014-09-10,427.0400085449219,427.2699890136719,425.8500061035156,432.3299865722656,68100.0
2014-09-11,425.4599914550781,427.3999938964844,425.4599914550781,427.9599914550781,37700.0
2014-09-12,425.5400085449219,426.17999267578125,423.75,427.510009765625,39900.0
2014-09-15,427.25,426.010009765625,425.3699951171875,428.3500061035156,49100.0
2014-09-16,426.0,425.7799987792969,424.5,429.8999938964844,66200.0
2014-09-17,425.3500061035156,427.8399963378906,425.010009765625,432.6700134277344,67300.0
2014-09-18,428.04998779296875,430.1300048828125,428.04998779296875,431.0400085449219,47200.0
2014-09-19,430.2200012207031,429.2099914550781,427.20001220703125,431.75,113900.0
2014-09-22,429.2900085449219,425.3399963378906,425.0799865722656,429.6499938964844,47700.0
2014-09-23,424.9200134277344,420.3500061035156,420.2099914550781,425.92999267578125,53800.0
2014-09-24,420.1499938964844,421.70001220703125,420.1499938964844,424.6700134277344,56200.0
2014-09-25,421.1000061035156,420.1099853515625,418.0,421.6400146484375,50100.0
2014-09-26,420.55999755859375,422.2099914550781,418.95001220703125,422.5400085449219,54200.0
2014-09-29,419.4700012207031,419.57000732421875,418.4200134277344,421.8999938964844,53100.0
2014-09-30,418.6000061035156,418.1499938964844,416.67999267578125,421.1600036621094,47400.0
2014-10-01,419.3399963378906,416.8299865722656,415.75,420.7200012207031,74000.0
2014-10-02,416.04998779296875,419.5799865722656,415.6199951171875,421.1499938964844,44400.0
2014-10-03,422.8699951171875,424.7900085449219,420.5,425.57000732421875,43700.0
2014-10-06,427.2200012207031,425.3299865722656,424.2900085449219,428.0,39100.0
2014-10-07,422.0400085449219,421.9800109863281,421.9200134277344,425.5,48300.0
2014-10-08,421.80999755859375,428.6300048828125,421.04998779296875,429.44000244140625,39300.0
2014-10-09,425.8699951171875,422.42999267578125,420.67999267578125,426.6499938964844,40500.0
2014-10-10,422.7799987792969,417.8900146484375,416.760009765625,426.94000244140625,53400.0
2014-10-13,418.29998779296875,413.4700012207031,412.75,420.9800109863281,52800.0
2014-10-14,413.5899963378906,414.6099853515625,412.5400085449219,417.4700012207031,77800.0
2014-10-15,411.0,412.739990234375,405.9599914550781,415.0299987792969,81600.0
2014-10-16,407.8500061035156,413.5,405.70001220703125,416.2300109863281,75700.0
2014-10-17,417.95001220703125,417.70001220703125,414.2099914550781,418.55999755859375,39300.0
2014-10-20,416.0799865722656,421.6199951171875,414.5799865722656,422.8599853515625,45500.0
2014-10-21,423.9700012207031,431.6000061035156,423.9700012207031,431.7200012207031,42000.0
2014-10-22,432.3999938964844,432.32000732421875,431.2300109863281,438.2699890136719,43200.0
2014-10-23,434.45001220703125,432.0,431.04998779296875,435.67999267578125,48200.0
2014-10-24,431.57000732421875,433.29998779296875,431.57000732421875,434.1499938964844,44300.0
2014-10-27,433.5199890136719,434.0,431.4700012207031,435.3999938964844,44900.0
2014-10-28,434.0899963378906,437.1199951171875,433.8599853515625,437.5400085449219,48800.0
2014-10-29,437.0,435.760009765625,433.5899963378906,437.6499938964844,46100.0
2014-10-30,433.3399963378906,437.489990234375,433.3399963378906,438.82000732421875,39200.0
2014-10-31,440.8999938964844,444.2799987792969,438.4200134277344,444.2799987792969,56900.0
2014-11-03,445.989990234375,448.3699951171875,440.7799987792969,448.3699951171875,52700.0
2014-11-04,443.3999938964844,445.1700134277344,441.8500061035156,448.3699951171875,47200.0
2014-11-05,446.8800048828125,446.6400146484375,443.5199890136719,450.57000732421875,57400.0
2014-11-06,447.3599853515625,446.1700134277344,444.739990234375,448.8999938964844,30100.0
2014-11-07,447.8900146484375,448.7099914550781,445.4800109863281,449.3900146484375,92700.0
2014-11-10,450.7099914550781,449.989990234375,447.3500061035156,453.6000061035156,57400.0
2014-11-11,450.4200134277344,448.9100036621094,448.260009765625,451.70001220703125,28900.0
2014-11-12,446.82000732421875,450.7300109863281,445.20001220703125,451.80999755859375,27800.0
2014-11-13,452.8999938964844,451.1499938964844,450.0199890136719,456.1600036621094,39300.0
2014-11-14,452.6099853515625,451.5799865722656,449.8399963378906,455.4800109863281,24900.0
2014-11-17,452.5,454.010009765625,449.04998779296875,455.9599914550781,42800.0
2014-11-18,456.6700134277344,456.5799865722656,452.45001220703125,460.2200012207031,57300.0
2014-11-19,454.760009765625,456.2900085449219,453.760009765625,456.7699890136719,23900.0
2014-11-20,456.5400085449219,456.8999938964844,454.8699951171875,458.6099853515625,32100.0
2014-11-21,460.0,455.0199890136719,454.9800109863281,461.5,34800.0
2014-11-24,457.94000244140625,456.30999755859375,453.5799865722656,461.989990234375,93900.0
2014-11-25,458.4100036621094,455.8299865722656,454.8800048828125,459.9599914550781,62200.0
2014-11-26,455.1600036621094,458.1000061035156,454.239990234375,459.989990234375,21700.0
2014-11-28,460.5199890136719,456.5400085449219,456.3500061035156,461.6099853515625,33000.0
2014-12-01,456.70001220703125,455.0899963378906,454.29998779296875,457.4700012207031,57700.0
2014-12-02,456.79998779296875,465.5400085449219,456.79998779296875,466.6400146484375,58900.0
2014-12-03,463.75,458.07000732421875,456.1600036621094,464.17999267578125,60700.0
