Date,fcelopen,fcelclose,fcellow,fcelhigh,fcelvolume
2016-12-01,2.049999952316284,2.0,1.899999976158142,2.049999952316284,1718100.0
2016-12-02,2.0,2.0,1.9500000476837158,2.0299999713897705,602600.0
2016-12-05,2.0,2.200000047683716,1.899999976158142,2.200000047683716,1096800.0
2016-12-06,2.200000047683716,2.049999952316284,2.049999952316284,2.299999952316284,603300.0
2016-12-07,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.1500000953674316,359600.0
2016-12-08,2.0999999046325684,2.049999952316284,2.0,2.1500000953674316,325500.0
2016-12-09,2.049999952316284,2.0999999046325684,1.9500000476837158,2.0999999046325684,550700.0
2016-12-12,2.049999952316284,1.899999976158142,1.899999976158142,2.049999952316284,631100.0
2016-12-13,1.899999976158142,1.9500000476837158,1.899999976158142,1.9800000190734863,503400.0
2016-12-14,1.9500000476837158,1.899999976158142,1.850000023841858,1.9500000476837158,522500.0
2016-12-15,1.850000023841858,1.899999976158142,1.850000023841858,1.9500000476837158,274400.0
2016-12-16,1.899999976158142,1.9500000476837158,1.850000023841858,1.9500000476837158,470100.0
2016-12-19,1.9500000476837158,2.0999999046325684,1.9500000476837158,2.0999999046325684,815100.0
2016-12-20,2.0999999046325684,2.200000047683716,2.0799999237060547,2.200000047683716,801200.0
2016-12-21,2.25,2.049999952316284,2.049999952316284,2.25,331200.0
2016-12-22,2.0999999046325684,1.9500000476837158,1.899999976158142,2.0999999046325684,428300.0
2016-12-23,1.9500000476837158,2.0,1.9299999475479126,2.0,366000.0
2016-12-27,2.0,2.0,1.9500000476837158,2.0,448200.0
2016-12-28,1.9500000476837158,1.850000023841858,1.850000023841858,2.0,708000.0
2016-12-29,1.899999976158142,1.8300000429153442,1.7999999523162842,1.9500000476837158,998700.0
2016-12-30,1.7999999523162842,1.75,1.600000023841858,1.850000023841858,2087800.0
2017-01-03,1.7999999523162842,1.7999999523162842,1.75,1.850000023841858,353300.0
2017-01-04,1.850000023841858,1.899999976158142,1.7999999523162842,1.899999976158142,552900.0
2017-01-05,1.899999976158142,1.9500000476837158,1.899999976158142,2.0,634900.0
2017-01-06,2.0,2.0,1.9500000476837158,2.049999952316284,483100.0
2017-01-09,2.0,1.9500000476837158,1.899999976158142,2.049999952316284,403900.0
2017-01-10,1.9500000476837158,1.9500000476837158,1.850000023841858,1.9500000476837158,255000.0
2017-01-11,1.9500000476837158,1.9500000476837158,1.899999976158142,2.0,494700.0
2017-01-12,1.9500000476837158,1.899999976158142,1.850000023841858,1.9500000476837158,483800.0
2017-01-13,1.899999976158142,1.899999976158142,1.850000023841858,1.899999976158142,421300.0
2017-01-17,1.899999976158142,1.7999999523162842,1.7999999523162842,1.9199999570846558,388500.0
2017-01-18,1.7999999523162842,1.75,1.75,1.850000023841858,540100.0
2017-01-19,1.75,1.75,1.75,1.7999999523162842,272600.0
2017-01-20,1.75,1.7000000476837158,1.7000000476837158,1.7999999523162842,449100.0
2017-01-23,1.7000000476837158,1.649999976158142,1.600000023841858,1.7000000476837158,529000.0
2017-01-24,1.649999976158142,1.600000023841858,1.600000023841858,1.649999976158142,629600.0
2017-01-25,1.600000023841858,1.5,1.5,1.649999976158142,699400.0
2017-01-26,1.5,1.5499999523162842,1.5,1.9500000476837158,2274300.0
2017-01-27,1.5499999523162842,1.5499999523162842,1.5499999523162842,1.600000023841858,426500.0
2017-01-30,1.5499999523162842,1.5,1.399999976158142,1.5499999523162842,847500.0
2017-01-31,1.5,1.5,1.4500000476837158,1.5,429000.0
2017-02-01,1.5,1.399999976158142,1.399999976158142,1.5,380900.0
2017-02-02,1.399999976158142,1.399999976158142,1.399999976158142,1.4500000476837158,345100.0
2017-02-03,1.4500000476837158,1.399999976158142,1.399999976158142,1.4500000476837158,314700.0
2017-02-06,1.399999976158142,1.399999976158142,1.399999976158142,1.4500000476837158,361300.0
2017-02-07,1.4500000476837158,1.399999976158142,1.399999976158142,1.4500000476837158,286700.0
2017-02-08,1.399999976158142,1.2999999523162842,1.2999999523162842,1.4299999475479126,786200.0
2017-02-09,1.350000023841858,1.25,1.25,1.350000023841858,1008600.0
2017-02-10,1.25,1.5,1.25,1.5,1508000.0
2017-02-13,1.5499999523162842,1.649999976158142,1.5,1.649999976158142,1373000.0
2017-02-14,1.75,1.649999976158142,1.600000023841858,1.7999999523162842,1284700.0
2017-02-15,1.649999976158142,1.649999976158142,1.600000023841858,1.7000000476837158,947100.0
2017-02-16,1.649999976158142,1.6799999475479126,1.600000023841858,1.7000000476837158,366600.0
2017-02-17,1.7000000476837158,1.600000023841858,1.600000023841858,1.7000000476837158,502900.0
2017-02-21,1.600000023841858,1.6299999952316284,1.600000023841858,1.6699999570846558,398500.0
2017-02-22,1.600000023841858,1.600000023841858,1.600000023841858,1.649999976158142,414700.0
2017-02-23,1.600000023841858,1.5299999713897705,1.5,1.649999976158142,639400.0
2017-02-24,1.5499999523162842,1.5299999713897705,1.5,1.600000023841858,510300.0
2017-02-27,1.600000023841858,1.600000023841858,1.5499999523162842,1.6299999952316284,400300.0
2017-02-28,1.600000023841858,1.5499999523162842,1.5499999523162842,1.600000023841858,674400.0
2017-03-01,1.5499999523162842,1.649999976158142,1.5499999523162842,1.649999976158142,817900.0
2017-03-02,1.649999976158142,1.7000000476837158,1.649999976158142,1.75,669700.0
2017-03-03,1.75,1.75,1.7000000476837158,1.75,611000.0
2017-03-06,1.75,1.5800000429153442,1.5,1.850000023841858,1300200.0
2017-03-07,1.600000023841858,1.5,1.5,1.600000023841858,502000.0
2017-03-08,1.5,1.5,1.5,1.5499999523162842,420600.0
2017-03-09,1.5,1.399999976158142,1.350000023841858,1.5,679500.0
2017-03-10,1.4500000476837158,1.399999976158142,1.399999976158142,1.4500000476837158,334300.0
2017-03-13,1.399999976158142,1.4500000476837158,1.399999976158142,1.4500000476837158,331300.0
2017-03-14,1.4500000476837158,1.350000023841858,1.350000023841858,1.4500000476837158,475600.0
2017-03-15,1.350000023841858,1.399999976158142,1.350000023841858,1.399999976158142,290300.0
2017-03-16,1.399999976158142,1.3799999952316284,1.350000023841858,1.399999976158142,276000.0
2017-03-17,1.350000023841858,1.350000023841858,1.350000023841858,1.399999976158142,760200.0
2017-03-20,1.399999976158142,1.350000023841858,1.350000023841858,1.4800000190734863,599700.0
2017-03-21,1.4500000476837158,1.4500000476837158,1.399999976158142,1.4500000476837158,803700.0
2017-03-22,1.4500000476837158,1.399999976158142,1.3799999952316284,1.5,632000.0
2017-03-23,1.399999976158142,1.3799999952316284,1.350000023841858,1.4500000476837158,483000.0
2017-03-24,1.350000023841858,1.350000023841858,1.350000023841858,1.399999976158142,450700.0
2017-03-27,1.350000023841858,1.399999976158142,1.350000023841858,1.399999976158142,630800.0
2017-03-28,1.399999976158142,1.399999976158142,1.350000023841858,1.399999976158142,385100.0
2017-03-29,1.399999976158142,1.350000023841858,1.350000023841858,1.399999976158142,518200.0
2017-03-30,1.350000023841858,1.4299999475479126,1.350000023841858,1.4500000476837158,1389900.0
2017-03-31,1.4500000476837158,1.3799999952316284,1.350000023841858,1.4500000476837158,475600.0
2017-04-03,1.399999976158142,1.350000023841858,1.350000023841858,1.4299999475479126,388100.0
2017-04-04,1.350000023841858,1.3799999952316284,1.350000023841858,1.399999976158142,458100.0
2017-04-05,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.5299999713897705,2126400.0
2017-04-06,1.5,1.5,1.5,1.5499999523162842,1056300.0
2017-04-07,1.5499999523162842,1.600000023841858,1.5,1.600000023841858,1788500.0
2017-04-10,1.649999976158142,1.75,1.600000023841858,1.7999999523162842,2232600.0
2017-04-11,1.7999999523162842,1.899999976158142,1.75,1.9500000476837158,3111600.0
2017-04-12,1.9500000476837158,1.649999976158142,1.649999976158142,1.9800000190734863,2301200.0
2017-04-13,1.649999976158142,1.649999976158142,1.649999976158142,1.7000000476837158,1107400.0
2017-04-17,1.649999976158142,1.5800000429153442,1.4500000476837158,1.649999976158142,1407100.0
2017-04-18,1.600000023841858,1.5299999713897705,1.5,1.600000023841858,861800.0
2017-04-19,1.5499999523162842,1.5499999523162842,1.5499999523162842,1.600000023841858,886000.0
2017-04-20,1.600000023841858,1.5499999523162842,1.5,1.600000023841858,687900.0
2017-04-21,1.5,1.5,1.4500000476837158,1.5499999523162842,924700.0
2017-04-24,1.5499999523162842,1.5299999713897705,1.5,1.600000023841858,642300.0
2017-04-25,1.600000023841858,1.600000023841858,1.5499999523162842,1.600000023841858,670700.0
2017-04-26,1.600000023841858,1.5499999523162842,1.5,1.6100000143051147,726900.0
2017-04-27,1.600000023841858,1.600000023841858,1.5499999523162842,1.7000000476837158,1404600.0
2017-04-28,1.0499999523162842,1.149999976158142,1.0,1.2000000476837158,14324400.0
2017-05-01,1.2000000476837158,1.2000000476837158,1.149999976158142,1.2000000476837158,1470500.0
2017-05-02,1.2000000476837158,1.0800000429153442,1.0499999523162842,1.2000000476837158,2808900.0
2017-05-03,1.100000023841858,1.100000023841858,1.100000023841858,1.149999976158142,777300.0
2017-05-04,1.149999976158142,1.0199999809265137,1.0,1.149999976158142,3387100.0
2017-05-05,1.0499999523162842,1.0499999523162842,1.0,1.100000023841858,2707700.0
2017-05-08,1.100000023841858,1.1299999952316284,1.100000023841858,1.149999976158142,1582800.0
2017-05-09,1.149999976158142,1.1299999952316284,1.100000023841858,1.149999976158142,822300.0
2017-05-10,1.149999976158142,1.100000023841858,1.100000023841858,1.149999976158142,501800.0
2017-05-11,1.100000023841858,1.1299999952316284,1.100000023841858,1.149999976158142,709500.0
2017-05-12,1.100000023841858,1.0499999523162842,1.0499999523162842,1.149999976158142,2158200.0
2017-05-15,1.100000023841858,1.0800000429153442,1.0499999523162842,1.100000023841858,882600.0
2017-05-16,1.0499999523162842,1.0,1.0,1.100000023841858,1300900.0
2017-05-17,1.0499999523162842,0.9300000071525574,0.8999999761581421,1.0499999523162842,2993200.0
2017-05-18,0.949999988079071,0.8600000143051147,0.800000011920929,0.949999988079071,2392300.0
2017-05-19,0.8799999952316284,0.9300000071525574,0.8600000143051147,0.9599999785423279,1670400.0
2017-05-22,0.9800000190734863,0.9599999785423279,0.9300000071525574,1.0,768000.0
2017-05-23,0.9700000286102295,0.9300000071525574,0.9100000262260437,0.9700000286102295,534500.0
2017-05-24,0.9200000166893005,0.9100000262260437,0.8999999761581421,0.9300000071525574,294800.0
2017-05-25,0.9200000166893005,0.9300000071525574,0.9100000262260437,0.9700000286102295,1136500.0
2017-05-26,0.9300000071525574,0.9599999785423279,0.9300000071525574,0.9599999785423279,552300.0
2017-05-30,1.0,0.9800000190734863,0.949999988079071,1.0,707900.0
2017-05-31,1.0,0.9599999785423279,0.949999988079071,1.0,684000.0
2017-06-01,0.9800000190734863,1.0099999904632568,0.9700000286102295,1.0499999523162842,999300.0
2017-06-02,1.0499999523162842,1.090000033378601,1.0199999809265137,1.149999976158142,1892300.0
2017-06-05,1.1299999952316284,1.1200000047683716,1.100000023841858,1.149999976158142,996500.0
2017-06-06,1.1399999856948853,1.0299999713897705,1.0299999713897705,1.149999976158142,1003100.0
2017-06-07,1.0299999713897705,1.0800000429153442,1.0,1.0800000429153442,812200.0
2017-06-08,1.0499999523162842,1.0399999618530273,0.949999988079071,1.1200000047683716,1416500.0
2017-06-09,1.100000023841858,1.100000023841858,1.0499999523162842,1.1200000047683716,989100.0
2017-06-12,1.100000023841858,1.100000023841858,1.0700000524520874,1.100000023841858,478600.0
2017-06-13,1.100000023841858,1.1399999856948853,1.0800000429153442,1.159999966621399,1268600.0
2017-06-14,1.1699999570846558,1.149999976158142,1.1200000047683716,1.1699999570846558,793200.0
2017-06-15,1.149999976158142,1.1200000047683716,1.100000023841858,1.149999976158142,369900.0
2017-06-16,1.1299999952316284,1.100000023841858,1.100000023841858,1.149999976158142,954800.0
2017-06-19,1.1299999952316284,1.1299999952316284,1.1100000143051147,1.149999976158142,988300.0
2017-06-20,1.159999966621399,1.159999966621399,1.1299999952316284,1.1799999475479126,712400.0
2017-06-21,1.190000057220459,1.1699999570846558,1.1399999856948853,1.2000000476837158,933000.0
2017-06-22,1.1799999475479126,1.2599999904632568,1.159999966621399,1.2799999713897705,2088300.0
2017-06-23,1.2899999618530273,1.2000000476837158,1.2000000476837158,1.2999999523162842,4315500.0
2017-06-26,1.2300000190734863,1.2999999523162842,1.2300000190734863,1.2999999523162842,1655400.0
2017-06-27,1.2999999523162842,1.3799999952316284,1.2999999523162842,1.399999976158142,1626400.0
2017-06-28,1.350000023841858,1.3899999856948853,1.309999942779541,1.399999976158142,1291000.0
2017-06-29,1.3700000047683716,1.2899999618530273,1.2599999904632568,1.3799999952316284,899400.0
2017-06-30,1.2999999523162842,1.2400000095367432,1.2000000476837158,1.309999942779541,773500.0
2017-07-03,1.25,1.2599999904632568,1.25,1.2899999618530273,601900.0
2017-07-05,1.350000023841858,1.25,1.2200000286102295,1.350000023841858,1611400.0
