Date,lmtopen,lmtclose,lmtlow,lmthigh,lmtvolume
2017-04-17,268.1300048828125,269.8800048828125,267.9100036621094,269.8999938964844,811600.0
2017-04-18,269.8800048828125,268.7799987792969,268.2200012207031,270.70001220703125,762800.0
2017-04-19,269.69000244140625,269.6300048828125,268.6700134277344,270.04998779296875,815900.0
2017-04-20,270.1499938964844,271.8500061035156,269.6700134277344,273.20001220703125,814600.0
2017-04-21,272.20001220703125,273.0899963378906,272.0,274.489990234375,955500.0
2017-04-24,275.5400085449219,276.2099914550781,274.30999755859375,276.6400146484375,1098800.0
2017-04-25,273.8999938964844,270.0199890136719,267.67999267578125,274.5,2963900.0
2017-04-26,270.5899963378906,270.3500061035156,269.5400085449219,272.510009765625,1477200.0
2017-04-27,270.8399963378906,271.1400146484375,269.94000244140625,272.7699890136719,953800.0
2017-04-28,271.07000732421875,269.45001220703125,268.6199951171875,271.5400085449219,1000500.0
2017-05-01,269.54998779296875,268.42999267578125,268.3699951171875,270.1099853515625,841500.0
2017-05-02,268.19000244140625,269.489990234375,268.0,269.8699951171875,737100.0
2017-05-03,268.75,269.6000061035156,268.20001220703125,269.95001220703125,636500.0
2017-05-04,269.8699951171875,270.510009765625,268.8599853515625,270.7099914550781,691100.0
2017-05-05,270.67999267578125,273.0299987792969,270.2099914550781,273.1000061035156,812700.0
2017-05-08,272.9200134277344,272.5,272.1000061035156,274.0,674800.0
2017-05-09,273.0,273.8699951171875,272.2699890136719,274.2200012207031,897900.0
2017-05-10,272.8800048828125,271.739990234375,270.1700134277344,273.7099914550781,934500.0
2017-05-11,271.1400146484375,272.0899963378906,270.20001220703125,272.25,605500.0
2017-05-12,270.9100036621094,271.260009765625,270.75,271.70001220703125,599700.0
2017-05-15,271.2799987792969,272.3500061035156,271.04998779296875,272.4700012207031,616500.0
2017-05-16,272.0799865722656,271.6499938964844,271.42999267578125,273.260009765625,614100.0
2017-05-17,271.6499938964844,269.239990234375,268.9100036621094,271.6499938964844,943300.0
2017-05-18,268.5400085449219,267.32000732421875,266.010009765625,269.0,1245900.0
2017-05-19,268.70001220703125,272.7900085449219,268.1099853515625,272.8800048828125,1254100.0
2017-05-22,280.7900085449219,277.0299987792969,276.2200012207031,280.7900085449219,1601200.0
2017-05-23,278.0,278.3599853515625,276.1000061035156,278.6199951171875,874700.0
2017-05-24,278.2200012207031,280.04998779296875,278.1099853515625,280.55999755859375,871700.0
2017-05-25,281.0,282.05999755859375,280.55999755859375,282.3299865722656,834300.0
2017-05-26,282.0400085449219,283.6499938964844,281.5400085449219,284.0,854600.0
2017-05-30,281.8299865722656,280.0899963378906,279.7300109863281,282.8399963378906,902200.0
2017-05-31,279.4700012207031,281.1300048828125,279.2699890136719,281.2799987792969,1506600.0
2017-06-01,281.17999267578125,280.9599914550781,279.5,281.70001220703125,829300.0
2017-06-02,281.2799987792969,281.760009765625,280.75,282.8900146484375,748500.0
2017-06-05,281.5,280.1300048828125,280.0899963378906,282.29998779296875,622500.0
2017-06-06,279.5400085449219,276.8800048828125,276.7200012207031,279.95001220703125,890800.0
2017-06-07,277.4100036621094,277.3800048828125,276.239990234375,277.8500061035156,658900.0
2017-06-08,277.3800048828125,277.6199951171875,276.6700134277344,278.69000244140625,1111700.0
2017-06-09,277.6600036621094,277.0,276.6099853515625,279.19000244140625,1021700.0
2017-06-12,277.0,276.8900146484375,273.9200134277344,277.2300109863281,835900.0
2017-06-13,276.8999938964844,278.3599853515625,275.4800109863281,278.94000244140625,638500.0
2017-06-14,278.1000061035156,280.29998779296875,278.0,282.32000732421875,828900.0
2017-06-15,279.75,280.92999267578125,277.7699890136719,281.57000732421875,617700.0
2017-06-16,282.1300048828125,281.1099853515625,280.67999267578125,282.2799987792969,1287600.0
2017-06-19,281.75,282.29998779296875,281.3900146484375,284.4800109863281,1064100.0
2017-06-20,282.95001220703125,282.8900146484375,282.3999938964844,284.9800109863281,967600.0
2017-06-21,283.67999267578125,282.989990234375,282.3399963378906,284.0199890136719,801400.0
2017-06-22,282.7300109863281,280.42999267578125,280.3800048828125,283.7099914550781,694000.0
2017-06-23,280.0299987792969,280.6400146484375,280.0299987792969,281.4800109863281,1026800.0
2017-06-26,281.1700134277344,279.70001220703125,279.489990234375,283.20001220703125,886500.0
2017-06-27,279.32000732421875,277.8299865722656,277.8299865722656,280.2099914550781,740500.0
2017-06-28,279.0799865722656,280.0199890136719,278.3699951171875,280.9200134277344,955700.0
2017-06-29,279.8500061035156,276.7300109863281,274.69000244140625,279.8500061035156,905200.0
2017-06-30,277.6199951171875,277.6099853515625,276.32000732421875,278.9200134277344,1085900.0
2017-07-03,277.3900146484375,278.9200134277344,277.20001220703125,280.4800109863281,462800.0
2017-07-05,279.5,282.3999938964844,279.3999938964844,283.7200012207031,869500.0
2017-07-06,282.0,280.9599914550781,280.3999938964844,283.4800109863281,766000.0
2017-07-07,281.6600036621094,285.20001220703125,281.5,286.95001220703125,1197200.0
2017-07-10,285.5,285.57000732421875,284.2200012207031,287.9100036621094,1347800.0
2017-07-11,285.57000732421875,286.4200134277344,285.05999755859375,287.75,915600.0
2017-07-12,287.1499938964844,286.3599853515625,286.3599853515625,288.7699890136719,812600.0
2017-07-13,287.1199951171875,286.760009765625,285.7799987792969,287.8500061035156,705100.0
2017-07-14,287.04998779296875,288.1300048828125,286.7099914550781,288.7699890136719,887900.0
2017-07-17,288.5,288.489990234375,287.6099853515625,290.05999755859375,1319300.0
2017-07-18,290.6400146484375,286.7900085449219,286.0299987792969,292.9700012207031,1811000.0
2017-07-19,287.67999267578125,290.6700134277344,287.0400085449219,291.2799987792969,1139700.0
2017-07-20,290.5799865722656,289.6700134277344,288.94000244140625,290.739990234375,1150900.0
2017-07-21,288.29998779296875,289.1199951171875,286.8599853515625,290.07000732421875,1230100.0
2017-07-24,289.4700012207031,290.2799987792969,289.20001220703125,291.239990234375,768700.0
2017-07-25,291.4800109863281,289.8299865722656,289.7200012207031,292.07000732421875,805200.0
2017-07-26,290.82000732421875,289.8500061035156,288.7699890136719,290.989990234375,882400.0
2017-07-27,290.20001220703125,288.1300048828125,286.1700134277344,290.489990234375,1117400.0
2017-07-28,288.07000732421875,290.4100036621094,286.5799865722656,290.7699890136719,1086200.0
2017-07-31,291.4200134277344,292.1300048828125,291.0299987792969,293.8399963378906,1139200.0
2017-08-01,293.92999267578125,292.6499938964844,291.8999938964844,294.3299865722656,1036700.0
2017-08-02,292.7300109863281,294.70001220703125,292.1499938964844,294.8399963378906,983700.0
2017-08-03,294.0,295.82000732421875,292.79998779296875,295.9100036621094,983600.0
2017-08-04,296.2699890136719,297.0,295.0400085449219,297.0,796400.0
2017-08-07,297.30999755859375,297.1499938964844,296.6000061035156,297.7300109863281,769100.0
2017-08-08,297.7900085449219,300.1000061035156,297.3299865722656,300.4200134277344,1009300.0
2017-08-09,301.20001220703125,305.2200012207031,301.0,305.5400085449219,1750600.0
2017-08-10,306.54998779296875,303.25,303.0,307.1000061035156,1339600.0
2017-08-11,302.8399963378906,303.75,302.5799865722656,306.45001220703125,987800.0
2017-08-14,305.45001220703125,307.5799865722656,304.260009765625,308.05999755859375,1200800.0
2017-08-15,307.9700012207031,306.20001220703125,305.5199890136719,308.4800109863281,1020300.0
2017-08-16,305.8800048828125,305.79998779296875,305.3500061035156,306.80999755859375,1035600.0
2017-08-17,305.260009765625,301.4200134277344,301.2699890136719,305.6499938964844,1067000.0
2017-08-18,300.8699951171875,299.20001220703125,298.82000732421875,301.260009765625,1204700.0
2017-08-21,300.0,301.8800048828125,297.7699890136719,302.2300109863281,962200.0
2017-08-22,303.510009765625,304.79998779296875,302.9700012207031,305.4800109863281,960400.0
2017-08-23,304.0,302.8399963378906,302.5299987792969,304.55999755859375,697100.0
2017-08-24,303.510009765625,302.6000061035156,301.25,304.04998779296875,574400.0
2017-08-25,303.9200134277344,302.79998779296875,302.7099914550781,304.67999267578125,571100.0
2017-08-28,303.7300109863281,303.6099853515625,302.510009765625,303.8500061035156,830400.0
2017-08-29,304.5,308.1400146484375,304.5,308.17999267578125,1277600.0
2017-08-30,306.4200134277344,306.29998779296875,305.5,307.2200012207031,1273000.0
2017-08-31,306.8599853515625,305.3900146484375,304.9700012207031,306.8599853515625,982400.0
2017-09-01,305.9599914550781,302.19000244140625,302.19000244140625,306.3399963378906,1188800.0
2017-09-05,304.45001220703125,302.20001220703125,301.9100036621094,304.5299987792969,1387200.0
2017-09-06,303.4100036621094,301.45001220703125,301.30999755859375,303.94000244140625,1217400.0
2017-09-07,301.45001220703125,302.3500061035156,300.239990234375,302.7699890136719,923400.0
2017-09-08,301.5199890136719,302.8999938964844,301.5199890136719,303.6600036621094,1161100.0
2017-09-11,303.70001220703125,304.4800109863281,302.2099914550781,304.5899963378906,917600.0
2017-09-12,304.45001220703125,303.7300109863281,302.9100036621094,304.760009765625,640800.0
2017-09-13,303.05999755859375,300.20001220703125,300.1099853515625,303.05999755859375,1143100.0
2017-09-14,300.20001220703125,301.3399963378906,298.3999938964844,301.3900146484375,1507600.0
2017-09-15,302.3399963378906,302.29998779296875,301.0299987792969,303.3500061035156,2025900.0
2017-09-18,302.8599853515625,303.79998779296875,302.3999938964844,304.3299865722656,1005500.0
2017-09-19,304.2900085449219,305.6499938964844,303.6600036621094,307.260009765625,1365100.0
2017-09-20,305.3599853515625,307.8999938964844,305.239990234375,307.9599914550781,1265000.0
2017-09-21,308.1000061035156,308.010009765625,307.3900146484375,308.9100036621094,875600.0
2017-09-22,308.6499938964844,308.5400085449219,308.260009765625,311.3599853515625,1018600.0
2017-09-25,308.4800109863281,306.8500061035156,304.7099914550781,308.9700012207031,1222400.0
2017-09-26,308.54998779296875,309.5799865722656,308.2099914550781,310.69000244140625,1025800.0
2017-09-27,309.70001220703125,310.1300048828125,309.010009765625,311.32000732421875,973300.0
2017-09-28,309.010009765625,309.1300048828125,306.5799865722656,310.3699951171875,824200.0
2017-09-29,308.95001220703125,310.2900085449219,308.69000244140625,310.3599853515625,911500.0
2017-10-02,310.7900085449219,311.3299865722656,309.2699890136719,311.3800048828125,1007800.0
2017-10-03,311.3800048828125,312.8599853515625,311.29998779296875,314.0199890136719,803000.0
2017-10-04,313.2799987792969,313.0199890136719,312.4599914550781,314.1000061035156,903700.0
2017-10-05,312.82000732421875,314.5799865722656,312.6400146484375,315.2900085449219,950400.0
2017-10-06,315.0,316.4599914550781,314.2799987792969,316.4599914550781,857700.0
2017-10-09,316.6199951171875,317.29998779296875,315.5,318.3399963378906,880100.0
2017-10-10,318.32000732421875,317.7099914550781,316.2200012207031,318.32000732421875,941500.0
2017-10-11,317.6499938964844,318.5899963378906,317.04998779296875,318.79998779296875,706300.0
2017-10-12,318.3500061035156,321.1499938964844,318.2799987792969,321.55999755859375,867700.0
2017-10-13,321.6199951171875,319.3900146484375,319.1400146484375,322.19000244140625,1095500.0
2017-10-16,319.739990234375,318.94000244140625,317.739990234375,320.6700134277344,588200.0
2017-10-17,318.70001220703125,318.2699890136719,317.0199890136719,318.92999267578125,741600.0
2017-10-18,318.3299865722656,315.57000732421875,314.70001220703125,318.82000732421875,1131100.0
2017-10-19,315.57000732421875,316.8399963378906,313.0199890136719,317.07000732421875,727600.0
2017-10-20,317.92999267578125,320.0,316.6000061035156,320.0,933400.0
2017-10-23,321.05999755859375,320.7300109863281,319.8699951171875,321.55999755859375,1239000.0
2017-10-24,314.69000244140625,313.1499938964844,310.6099853515625,317.0,2567800.0
2017-10-25,312.8599853515625,312.42999267578125,311.30999755859375,315.9599914550781,1658800.0
2017-10-26,313.44000244140625,307.8900146484375,303.30999755859375,314.4200134277344,1599400.0
2017-10-27,307.95001220703125,308.0,307.75,310.3800048828125,998600.0
2017-10-30,308.5,308.6300048828125,307.82000732421875,310.4200134277344,1157300.0
2017-10-31,309.1600036621094,308.1600036621094,308.1400146484375,309.8299865722656,693900.0
2017-11-01,309.04998779296875,306.6000061035156,306.2300109863281,309.6600036621094,1016100.0
2017-11-02,306.1099853515625,310.8599853515625,306.1099853515625,310.8599853515625,868900.0
2017-11-03,310.9200134277344,309.989990234375,309.0400085449219,311.8500061035156,652200.0
2017-11-06,309.7200012207031,310.0799865722656,308.67999267578125,311.92999267578125,717300.0
2017-11-07,310.0799865722656,313.2900085449219,310.0799865722656,313.3699951171875,874200.0
2017-11-08,313.44000244140625,315.6400146484375,313.29998779296875,315.70001220703125,729600.0
2017-11-09,314.8500061035156,311.0799865722656,310.2799987792969,315.05999755859375,890600.0
2017-11-10,310.29998779296875,311.1700134277344,309.760009765625,311.67999267578125,630800.0
2017-11-13,311.0,312.95001220703125,310.30999755859375,313.2799987792969,702800.0
2017-11-14,312.0,313.739990234375,310.70001220703125,314.0,605700.0
2017-11-15,313.1000061035156,310.6400146484375,310.5400085449219,313.7799987792969,754900.0
2017-11-16,311.0899963378906,312.6499938964844,311.0,312.79998779296875,635500.0
2017-11-17,311.5899963378906,309.70001220703125,309.5,312.42999267578125,692300.0
2017-11-20,310.20001220703125,314.6499938964844,310.010009765625,315.57000732421875,901800.0
2017-11-21,315.239990234375,316.94000244140625,314.6099853515625,317.6199951171875,858000.0
2017-11-22,316.30999755859375,314.8699951171875,314.3500061035156,316.8599853515625,685700.0
2017-11-24,315.0899963378906,315.82000732421875,315.0199890136719,316.2300109863281,320900.0
2017-11-27,316.0,316.70001220703125,315.04998779296875,316.8900146484375,657800.0
2017-11-28,316.7799987792969,319.010009765625,316.1700134277344,319.42999267578125,967200.0
2017-11-29,319.5,320.760009765625,318.3299865722656,321.2099914550781,1190500.0
2017-11-30,319.6199951171875,319.1199951171875,318.4800109863281,320.94000244140625,2626200.0
2017-12-01,319.05999755859375,313.57000732421875,311.1300048828125,319.6300048828125,1707400.0
2017-12-04,315.94000244140625,311.7799987792969,311.6099853515625,316.5199890136719,1365900.0
2017-12-05,314.5,310.1400146484375,310.07000732421875,314.5,1171000.0
2017-12-06,311.9800109863281,311.9700012207031,310.25,313.07000732421875,824800.0
2017-12-07,311.8299865722656,314.4200134277344,311.80999755859375,315.3599853515625,972300.0
2017-12-08,316.55999755859375,315.8500061035156,313.45001220703125,316.55999755859375,853900.0
2017-12-11,315.45001220703125,316.1700134277344,315.1499938964844,317.239990234375,765800.0
2017-12-12,316.3800048828125,315.8900146484375,314.9100036621094,316.8999938964844,1082200.0
2017-12-13,316.6600036621094,317.7900085449219,316.29998779296875,319.8299865722656,862400.0
2017-12-14,318.2099914550781,317.010009765625,316.4200134277344,319.0299987792969,867600.0
2017-12-15,318.69000244140625,322.82000732421875,318.42999267578125,323.3800048828125,1929400.0
