Date,oxyopen,oxyclose,oxylow,oxyhigh,oxyvolume
2014-08-29,98.6994857788086,99.37970733642578,98.6994857788086,99.70545196533203,2594600.0
2014-09-02,99.09229278564453,98.06716918945312,97.79891204833984,99.34138488769531,2832300.0
2014-09-03,98.84319305419922,98.15338897705078,98.09590911865234,99.2264175415039,3109300.0
2014-09-04,98.34500122070312,98.07674407958984,97.63603973388672,99.130615234375,3952300.0
2014-09-05,98.04800415039062,97.06120300292969,96.5438461303711,98.27793884277344,4972500.0
2014-09-08,96.045654296875,94.41695404052734,93.99540710449219,96.11272430419922,5188500.0
2014-09-09,94.38821411132812,94.225341796875,93.68882751464844,95.10675811767578,4337500.0
2014-09-10,94.33072662353516,94.4073715209961,93.4972152709961,94.46485900878906,3700900.0
2014-09-11,93.75588989257812,94.225341796875,93.25769805908203,94.30198669433594,3282600.0
2014-09-12,93.89002227783203,93.315185546875,92.9798583984375,94.01456451416016,3019700.0
2014-09-15,93.02776336669922,94.16785430908203,92.29963684082031,94.41695404052734,4571700.0
2014-09-16,93.34392547607422,94.4265365600586,93.315185546875,95.04927062988281,3973300.0
2014-09-17,94.3211441040039,94.05288696289062,93.76547241210938,95.01094818115234,3845900.0
2014-09-18,94.36904907226562,93.76547241210938,93.4972152709961,94.55107879638672,2459000.0
2014-09-19,94.225341796875,93.6121826171875,93.593017578125,94.50318145751953,4121200.0
2014-09-22,93.45889282226562,92.84573364257812,92.12718963623047,93.52595520019531,3595700.0
2014-09-23,92.72118377685547,92.41460418701172,92.15592956542969,93.0948257446289,3865900.0
2014-09-24,93.4301528930664,94.28282165527344,92.26131439208984,94.99179077148438,5890200.0
2014-09-25,93.75588989257812,92.71160125732422,92.32837677001953,94.23492431640625,5587700.0
2014-09-26,92.5870590209961,94.225341796875,92.53915405273438,94.38821411132812,4649400.0
2014-09-29,92.93196105957031,93.15231323242188,91.98347473144531,93.37266540527344,5387300.0
2014-09-30,93.34392547607422,92.11760711669922,91.68647766113281,93.39183044433594,5304600.0
2014-10-01,91.98347473144531,90.33560943603516,90.22064208984375,92.97028350830078,6383500.0
2014-10-02,89.89490509033203,91.22660827636719,89.32964324951172,91.80144500732422,5846900.0
2014-10-03,92.12718963623047,91.93557739257812,90.68051147460938,92.24215698242188,5421400.0
2014-10-06,92.24215698242188,93.00860595703125,91.73438262939453,93.06608581542969,5206100.0
2014-10-07,91.49486541748047,90.89128875732422,90.89128875732422,92.46250915527344,5592300.0
2014-10-08,90.65177154541016,91.55235290527344,88.93684387207031,91.64815521240234,5650000.0
2014-10-09,91.07331848144531,88.64942169189453,88.13207244873047,91.14996337890625,5716400.0
2014-10-10,88.687744140625,87.72010040283203,86.80994415283203,89.24342346191406,6272400.0
2014-10-13,87.49974822998047,84.2136001586914,84.02198791503906,88.38116455078125,6819700.0
2014-10-14,84.75969696044922,82.92021942138672,82.48908996582031,85.33453369140625,6905300.0
