Date,bxpopen,bxpclose,bxplow,bxphigh,bxpvolume
2008-06-11,94.68000030517578,92.47000122070312,92.37000274658203,95.56999969482422,1188100.0
2008-06-12,93.37999725341797,94.0,92.44999694824219,94.87999725341797,1205600.0
2008-06-13,94.69000244140625,97.41999816894531,93.77999877929688,97.41999816894531,1130900.0
2008-06-16,97.45999908447266,100.05000305175781,97.23999786376953,100.11000061035156,1288200.0
2008-06-17,100.95999908447266,97.5,97.44999694824219,101.0,1020400.0
2008-06-18,96.97000122070312,96.41000366210938,96.20999908447266,97.8499984741211,1439900.0
2008-06-19,96.48999786376953,98.88999938964844,96.04000091552734,99.0,1127700.0
2008-06-20,97.69999694824219,95.69999694824219,95.5,98.5,1294100.0
2008-06-23,96.70999908447266,93.61000061035156,93.4800033569336,96.7699966430664,1107300.0
2008-06-24,93.55999755859375,94.16999816894531,92.58999633789062,95.5,955600.0
2008-06-25,94.54000091552734,95.06999969482422,93.91000366210938,96.61000061035156,1092400.0
2008-06-26,92.41000366210938,90.8499984741211,90.5999984741211,93.5999984741211,1316400.0
2008-06-27,90.45999908447266,90.06999969482422,89.04000091552734,91.8499984741211,2052000.0
2008-06-30,90.0,90.22000122070312,89.31999969482422,91.27999877929688,1302900.0
2008-07-01,89.48999786376953,91.16999816894531,88.16000366210938,91.19999694824219,1282300.0
2008-07-02,91.9000015258789,88.76000213623047,88.73999786376953,91.94999694824219,1368000.0
2008-07-03,89.98999786376953,89.01000213623047,88.12999725341797,90.52999877929688,1075800.0
2008-07-07,89.37000274658203,87.47000122070312,87.06999969482422,90.05999755859375,1548600.0
2008-07-08,87.70999908447266,93.58000183105469,86.72000122070312,95.79000091552734,1986500.0
2008-07-09,93.72000122070312,88.25,88.1500015258789,94.2300033569336,1919900.0
2008-07-10,88.43000030517578,91.80999755859375,88.43000030517578,92.94999694824219,2237200.0
2008-07-11,89.93000030517578,90.94000244140625,89.19999694824219,93.5,2788100.0
2008-07-14,92.41000366210938,89.33000183105469,89.0,92.5,2150300.0
2008-07-15,88.33000183105469,89.20999908447266,87.56999969482422,92.0999984741211,3212200.0
2008-07-16,89.83000183105469,93.81999969482422,88.25,94.54000091552734,2481500.0
2008-07-17,95.41999816894531,95.75,92.2699966430664,96.18000030517578,2945900.0
2008-07-18,95.73999786376953,96.58000183105469,94.0999984741211,96.80999755859375,1589300.0
2008-07-21,96.4800033569336,96.72000122070312,95.62999725341797,98.22000122070312,1469400.0
2008-07-22,95.12000274658203,99.87999725341797,95.12000274658203,100.0,1505100.0
2008-07-23,99.02999877929688,100.0,98.26000213623047,102.80000305175781,2228600.0
2008-07-24,97.5,93.12000274658203,92.33999633789062,103.2699966430664,2756300.0
2008-07-25,93.58999633789062,94.87000274658203,92.91999816894531,96.37999725341797,1604600.0
2008-07-28,93.6500015258789,93.0199966430664,92.55999755859375,96.94000244140625,1707400.0
