Date,smsiopen,smsiclose,smsilow,smsihigh,smsivolume
2008-11-06,24.239999771118164,24.079999923706055,24.0,24.920000076293945,91600.0
2008-11-07,24.399999618530273,24.760000228881836,24.280000686645508,24.959999084472656,51500.0
2008-11-10,25.15999984741211,24.639999389648438,23.920000076293945,25.15999984741211,64500.0
2008-11-11,24.440000534057617,24.0,24.0,25.0,48400.0
2008-11-12,23.84000015258789,23.479999542236328,23.399999618530273,24.799999237060547,70600.0
2008-11-13,23.239999771118164,25.040000915527344,22.0,25.1200008392334,121800.0
2008-11-14,24.440000534057617,23.360000610351562,23.280000686645508,25.399999618530273,62600.0
2008-11-17,23.200000762939453,22.799999237060547,22.520000457763672,24.079999923706055,69000.0
2008-11-18,22.920000076293945,22.84000015258789,22.079999923706055,23.239999771118164,80600.0
2008-11-19,22.84000015258789,20.200000762939453,20.15999984741211,23.200000762939453,79600.0
2008-11-20,19.920000076293945,17.8799991607666,17.799999237060547,20.799999237060547,143300.0
2008-11-21,18.239999771118164,17.040000915527344,16.0,18.399999618530273,149600.0
2008-11-24,17.399999618530273,18.520000457763672,16.84000015258789,18.719999313354492,108200.0
2008-11-25,18.799999237060547,19.84000015258789,17.8799991607666,19.959999084472656,74900.0
2008-11-26,19.239999771118164,21.239999771118164,19.239999771118164,21.360000610351562,44800.0
2008-11-28,20.200000762939453,20.440000534057617,20.079999923706055,21.239999771118164,20100.0
2008-12-01,19.799999237060547,18.040000915527344,18.0,20.760000228881836,68400.0
2008-12-02,18.520000457763672,20.719999313354492,18.079999923706055,20.799999237060547,72800.0
2008-12-03,19.959999084472656,21.200000762939453,19.600000381469727,22.0,52300.0
2008-12-04,21.239999771118164,19.8799991607666,19.440000534057617,21.84000015258789,68800.0
2008-12-05,19.639999389648438,21.0,19.520000457763672,21.15999984741211,98800.0
2008-12-08,21.0,21.0,20.600000381469727,21.399999618530273,102600.0
2008-12-09,20.040000915527344,20.239999771118164,20.040000915527344,21.1200008392334,58800.0
