Date,renopen,renclose,renlow,renhigh,renvolume
2011-08-25,64.94999694824219,62.75,62.70000076293945,65.69999694824219,58700.0
2011-08-26,62.79999923706055,64.0999984741211,62.0,65.25,86500.0
2011-08-29,64.94999694824219,65.5,64.05000305175781,65.55000305175781,93200.0
2011-08-30,65.3499984741211,66.80000305175781,65.1500015258789,67.4000015258789,111100.0
2011-08-31,67.4000015258789,67.44999694824219,66.80000305175781,68.5,148000.0
2011-09-01,67.75,65.8499984741211,65.0999984741211,68.5,86900.0
2011-09-02,64.44999694824219,63.70000076293945,62.900001525878906,65.05000305175781,67000.0
2011-09-06,62.04999923706055,63.099998474121094,61.20000076293945,63.25,85700.0
2011-09-07,64.19999694824219,65.5,63.650001525878906,66.5,76300.0
2011-09-08,65.0,64.3499984741211,63.79999923706055,66.0999984741211,53000.0
2011-09-09,63.54999923706055,62.45000076293945,61.75,64.6500015258789,75800.0
2011-09-12,61.04999923706055,62.70000076293945,61.0,63.20000076293945,78400.0
2011-09-13,63.0,63.349998474121094,62.0,63.54999923706055,80000.0
2011-09-14,63.849998474121094,63.599998474121094,62.20000076293945,64.1500015258789,77000.0
2011-09-15,64.19999694824219,65.4000015258789,63.0,65.44999694824219,62900.0
2011-09-16,65.5999984741211,66.0999984741211,64.69999694824219,66.1500015258789,178200.0
2011-09-19,64.8499984741211,64.5999984741211,63.650001525878906,65.5,73100.0
2011-09-20,64.80000305175781,63.0,62.900001525878906,65.5,73600.0
2011-09-21,62.849998474121094,60.29999923706055,60.20000076293945,63.70000076293945,95600.0
2011-09-22,59.70000076293945,58.20000076293945,57.349998474121094,59.70000076293945,235100.0
2011-09-23,57.900001525878906,58.54999923706055,57.150001525878906,59.650001525878906,129400.0
2011-09-26,58.95000076293945,58.25,55.95000076293945,59.20000076293945,204400.0
2011-09-27,59.45000076293945,59.5,58.25,61.04999923706055,322400.0
2011-09-28,59.54999923706055,57.25,57.150001525878906,59.75,60300.0
2011-09-29,58.75,58.25,56.25,59.400001525878906,73000.0
2011-09-30,57.20000076293945,56.79999923706055,56.400001525878906,58.650001525878906,86800.0
2011-10-03,56.20000076293945,53.900001525878906,53.5,57.29999923706055,213900.0
2011-10-04,53.349998474121094,56.25,52.20000076293945,56.45000076293945,128800.0
2011-10-05,56.5,56.599998474121094,54.900001525878906,57.099998474121094,90300.0
2011-10-06,55.900001525878906,56.5,54.25,57.150001525878906,108200.0
2011-10-07,56.5,54.70000076293945,54.349998474121094,56.5,95400.0
