Date,pbyiopen,pbyiclose,pbyilow,pbyihigh,pbyivolume
2013-02-15,24.389999389648438,24.1200008392334,23.0,24.479999542236328,137700
2013-02-19,24.3799991607666,24.5,23.93000030517578,24.770000457763672,69500
2013-02-20,24.549999237060547,24.260000228881836,22.799999237060547,25.739999771118164,91300
2013-02-21,24.5,24.139999389648438,23.979999542236328,25.420000076293945,70100
2013-02-22,23.920000076293945,24.5,23.920000076293945,24.700000762939453,57500
2013-02-25,24.43000030517578,24.059999465942383,24.0,25.09000015258789,117800
2013-02-26,24.139999389648438,25.5,24.0,25.68000030517578,63500
2013-02-27,25.43000030517578,26.489999771118164,25.25,26.770000457763672,57000
2013-02-28,26.59000015258789,25.709999084472656,24.6299991607666,26.59000015258789,153900
2013-03-01,25.649999618530273,26.56999969482422,25.530000686645508,27.760000228881836,209800
2013-03-04,25.889999389648438,25.290000915527344,24.56999969482422,26.25,51500
2013-03-05,25.290000915527344,26.1299991607666,25.260000228881836,26.260000228881836,232400
2013-03-06,26.299999237060547,27.600000381469727,26.260000228881836,27.799999237060547,159100
2013-03-07,27.530000686645508,27.40999984741211,26.790000915527344,27.709999084472656,84200
2013-03-08,27.389999389648438,28.670000076293945,27.040000915527344,29.059999465942383,35400
2013-03-11,28.510000228881836,29.149999618530273,27.420000076293945,29.3799991607666,128700
2013-03-12,29.420000076293945,28.540000915527344,28.149999618530273,29.700000762939453,169600
2013-03-13,28.729999542236328,28.889999389648438,28.25,28.899999618530273,187900
2013-03-14,28.799999237060547,29.010000228881836,28.309999465942383,29.489999771118164,75700
2013-03-15,28.809999465942383,29.1200008392334,28.729999542236328,29.56999969482422,147500
2013-03-18,28.68000030517578,28.6299991607666,28.600000381469727,29.299999237060547,81500
2013-03-19,28.860000610351562,27.790000915527344,27.780000686645508,29.049999237060547,89400
2013-03-20,27.850000381469727,28.56999969482422,27.450000762939453,28.889999389648438,71800
2013-03-21,28.899999618530273,28.760000228881836,28.690000534057617,28.979999542236328,35200
2013-03-22,28.84000015258789,31.190000534057617,28.700000762939453,31.3700008392334,336200
2013-03-25,31.559999465942383,30.969999313354492,30.6299991607666,34.97999954223633,210200
2013-03-26,31.309999465942383,32.849998474121094,30.68000030517578,33.369998931884766,158600
2013-03-27,32.66999816894531,33.0,31.84000015258789,33.27000045776367,69400
2013-03-28,33.0099983215332,33.38999938964844,32.70000076293945,33.56999969482422,112200
2013-04-01,33.70000076293945,31.829999923706055,30.709999084472656,33.70000076293945,114000
2013-04-02,32.18000030517578,32.40999984741211,32.11000061035156,34.61000061035156,172700
2013-04-03,32.279998779296875,31.350000381469727,31.229999542236328,32.540000915527344,96400
2013-04-04,31.510000228881836,31.459999084472656,31.280000686645508,32.189998626708984,103100
2013-04-05,31.1299991607666,30.600000381469727,30.489999771118164,31.1299991607666,75000
2013-04-08,30.950000762939453,30.799999237060547,29.81999969482422,31.020000457763672,145200
2013-04-09,30.950000762939453,31.489999771118164,30.68000030517578,32.209999084472656,156700
2013-04-10,31.40999984741211,31.610000610351562,31.219999313354492,31.799999237060547,72800
2013-04-11,31.68000030517578,31.969999313354492,31.360000610351562,32.310001373291016,209300
2013-04-12,31.860000610351562,31.969999313354492,31.65999984741211,32.619998931884766,95000
2013-04-15,31.84000015258789,34.0,31.65999984741211,34.650001525878906,122100
2013-04-16,34.5099983215332,34.58000183105469,33.66999816894531,35.97999954223633,181400
2013-04-17,34.369998931884766,34.650001525878906,33.59000015258789,35.0099983215332,48000
2013-04-18,34.61000061035156,34.599998474121094,34.349998474121094,36.70000076293945,102500
2013-04-19,34.4900016784668,34.43000030517578,34.36000061035156,35.09000015258789,105700
2013-04-22,34.619998931884766,33.95000076293945,33.75,35.63999938964844,172600
2013-04-23,33.95000076293945,33.18000030517578,32.720001220703125,34.380001068115234,186400
2013-04-24,33.40999984741211,33.560001373291016,32.529998779296875,33.93000030517578,92600
2013-04-25,33.83000183105469,33.16999816894531,32.970001220703125,33.83000183105469,94500
2013-04-26,33.11000061035156,33.0,32.650001525878906,33.31999969482422,60800
2013-04-29,33.02000045776367,32.65999984741211,32.529998779296875,33.2599983215332,105400
2013-04-30,32.439998626708984,32.18000030517578,30.719999313354492,32.439998626708984,242800
2013-05-01,32.0,30.639999389648438,30.469999313354492,32.33000183105469,266700
2013-05-02,30.739999771118164,32.29999923706055,30.479999542236328,32.97999954223633,161800
2013-05-03,32.5,30.850000381469727,30.049999237060547,32.5099983215332,78900
2013-05-06,30.719999313354492,30.600000381469727,30.40999984741211,31.020000457763672,52400
2013-05-07,30.43000030517578,29.350000381469727,29.18000030517578,31.18000030517578,37800
2013-05-08,29.260000228881836,27.969999313354492,27.399999618530273,29.260000228881836,114800
2013-05-09,28.030000686645508,28.610000610351562,27.489999771118164,29.190000534057617,80500
2013-05-10,28.299999237060547,29.0,28.299999237060547,29.479999542236328,97500
2013-05-13,29.030000686645508,30.020000457763672,28.969999313354492,30.329999923706055,192500
2013-05-14,30.09000015258789,31.0,30.079999923706055,31.030000686645508,200500
2013-05-15,31.219999313354492,32.04999923706055,31.149999618530273,32.09000015258789,190500
2013-05-16,31.93000030517578,34.779998779296875,31.729999542236328,34.779998779296875,351400
2013-05-17,35.0,37.36000061035156,34.400001525878906,39.34000015258789,297900
2013-05-20,37.11000061035156,37.529998779296875,36.54999923706055,39.099998474121094,179200
2013-05-21,37.849998474121094,36.849998474121094,36.400001525878906,37.849998474121094,169700
2013-05-22,37.119998931884766,36.70000076293945,35.84000015258789,37.599998474121094,233300
2013-05-23,36.619998931884766,38.54999923706055,36.52000045776367,39.189998626708984,500500
2013-05-24,38.63999938964844,38.40999984741211,38.279998779296875,39.720001220703125,276500
2013-05-28,38.86000061035156,39.310001373291016,38.59000015258789,39.33000183105469,487600
2013-05-29,39.20000076293945,39.65999984741211,38.9900016784668,39.880001068115234,141400
2013-05-30,39.880001068115234,39.04999923706055,38.54999923706055,39.88999938964844,147000
2013-05-31,38.79999923706055,38.93000030517578,38.380001068115234,39.779998779296875,326400
2013-06-03,39.54999923706055,38.689998626708984,38.470001220703125,40.02000045776367,299800
2013-06-04,38.9900016784668,36.310001373291016,36.150001525878906,38.9900016784668,159100
2013-06-05,36.2400016784668,34.900001525878906,34.86000061035156,36.560001373291016,111800
2013-06-06,34.95000076293945,34.06999969482422,33.75,35.470001220703125,100400
2013-06-07,33.900001525878906,36.75,33.58000183105469,37.0099983215332,128500
2013-06-10,37.0,37.27000045776367,36.79999923706055,37.529998779296875,81700
2013-06-11,36.95000076293945,37.130001068115234,36.439998626708984,37.599998474121094,59200
2013-06-12,37.5099983215332,37.5099983215332,37.36000061035156,38.18000030517578,94000
2013-06-13,37.5,36.79999923706055,36.459999084472656,37.72999954223633,188100
2013-06-14,36.66999816894531,37.900001525878906,36.27000045776367,38.15999984741211,76000
2013-06-17,38.33000183105469,39.20000076293945,37.869998931884766,39.43000030517578,121900
2013-06-18,39.380001068115234,38.869998931884766,38.66999816894531,39.5,149900
2013-06-19,38.9900016784668,40.0099983215332,38.97999954223633,40.4900016784668,138900
2013-06-20,39.54999923706055,38.88999938964844,38.2400016784668,39.81999969482422,195200
2013-06-21,39.470001220703125,42.54999923706055,38.939998626708984,43.130001068115234,244800
2013-06-24,42.189998626708984,44.720001220703125,41.619998931884766,44.880001068115234,179700
2013-06-25,44.939998626708984,42.06999969482422,41.150001525878906,45.689998626708984,268100
2013-06-26,42.70000076293945,45.04999923706055,42.650001525878906,45.31999969482422,226300
2013-06-27,45.439998626708984,44.25,42.25,45.439998626708984,376200
2013-06-28,43.869998931884766,44.369998931884766,43.2599983215332,45.619998931884766,1954800
2013-07-01,44.59000015258789,47.47999954223633,44.38999938964844,49.0,683700
2013-07-02,47.33000183105469,53.29999923706055,47.16999816894531,53.45000076293945,589200
2013-07-03,52.099998474121094,54.04999923706055,52.099998474121094,54.869998931884766,179000
2013-07-05,54.310001373291016,55.79999923706055,54.290000915527344,56.83000183105469,257200
2013-07-08,56.02000045776367,56.0,55.68000030517578,57.220001220703125,460700
2013-07-09,55.9900016784668,55.20000076293945,54.68000030517578,56.279998779296875,197600
2013-07-10,55.36000061035156,55.04999923706055,54.70000076293945,55.70000076293945,231000
2013-07-11,55.08000183105469,55.52000045776367,55.08000183105469,56.15999984741211,169200
2013-07-12,55.66999816894531,55.61000061035156,54.650001525878906,56.16999816894531,321700
2013-07-15,56.040000915527344,55.88999938964844,55.31999969482422,56.470001220703125,110700
2013-07-16,55.790000915527344,54.77000045776367,54.72999954223633,56.15999984741211,289400
2013-07-17,54.93000030517578,53.06999969482422,52.40999984741211,55.279998779296875,283800
2013-07-18,53.02000045776367,53.40999984741211,51.93000030517578,53.720001220703125,130900
2013-07-19,53.41999816894531,54.04999923706055,53.119998931884766,54.459999084472656,160000
2013-07-22,54.369998931884766,58.939998626708984,54.369998931884766,59.02000045776367,312300
2013-07-23,58.880001068115234,57.34000015258789,55.720001220703125,58.880001068115234,221100
2013-07-24,57.33000183105469,55.459999084472656,55.290000915527344,57.720001220703125,100000
2013-07-25,55.400001525878906,54.790000915527344,53.58000183105469,55.400001525878906,143500
2013-07-26,54.029998779296875,53.900001525878906,53.209999084472656,54.790000915527344,121500
2013-07-29,53.47999954223633,52.09000015258789,51.939998626708984,54.209999084472656,167400
2013-07-30,51.5099983215332,51.47999954223633,50.34000015258789,52.22999954223633,152500
2013-07-31,51.7400016784668,51.11000061035156,50.970001220703125,51.7400016784668,130300
2013-08-01,51.2400016784668,50.540000915527344,49.5,51.529998779296875,206900
2013-08-02,49.54999923706055,50.68000030517578,49.310001373291016,50.93000030517578,75600
2013-08-05,50.7400016784668,55.310001373291016,49.369998931884766,56.09000015258789,160300
2013-08-06,55.04999923706055,55.90999984741211,54.83000183105469,56.34000015258789,236100
2013-08-07,55.970001220703125,53.66999816894531,52.61000061035156,58.59000015258789,281900
2013-08-08,54.38999938964844,53.20000076293945,52.59000015258789,55.720001220703125,88100
2013-08-09,53.27000045776367,52.599998474121094,52.45000076293945,53.27000045776367,70300
2013-08-12,52.40999984741211,53.45000076293945,52.40999984741211,53.59000015258789,100100
2013-08-13,53.310001373291016,52.630001068115234,51.400001525878906,54.2400016784668,61600
2013-08-14,52.5099983215332,51.75,51.22999954223633,53.040000915527344,43300
2013-08-15,51.33000183105469,48.33000183105469,48.29999923706055,51.40999984741211,92700
2013-08-16,47.90999984741211,48.5,47.560001373291016,48.689998626708984,96400
2013-08-19,48.689998626708984,49.400001525878906,48.47999954223633,51.689998626708984,95500
2013-08-20,49.86000061035156,49.400001525878906,48.09000015258789,51.15999984741211,71200
2013-08-21,49.11000061035156,49.52000045776367,48.86000061035156,50.09000015258789,52000
2013-08-22,49.790000915527344,50.29999923706055,49.459999084472656,51.59000015258789,78300
2013-08-23,50.09000015258789,50.2599983215332,49.349998474121094,50.66999816894531,81800
2013-08-26,50.22999954223633,52.61000061035156,50.22999954223633,52.90999984741211,95000
2013-08-27,52.29999923706055,50.02000045776367,49.880001068115234,52.9900016784668,74400
2013-08-28,49.849998474121094,49.90999984741211,49.849998474121094,52.0,59600
2013-08-29,50.04999923706055,52.220001220703125,49.720001220703125,52.4900016784668,63300
2013-08-30,52.040000915527344,50.63999938964844,50.11000061035156,52.7400016784668,58100
2013-09-03,51.02000045776367,52.58000183105469,50.68000030517578,52.939998626708984,66500
2013-09-04,52.4900016784668,56.06999969482422,52.4900016784668,56.29999923706055,97000
2013-09-05,56.2400016784668,57.54999923706055,55.709999084472656,58.18000030517578,287200
2013-09-06,57.63999938964844,57.81999969482422,55.790000915527344,58.310001373291016,107900
2013-09-09,58.15999984741211,60.0,58.11000061035156,62.65999984741211,186100
2013-09-10,60.68000030517578,58.5,58.04999923706055,61.97999954223633,167900
2013-09-11,58.619998931884766,57.45000076293945,57.279998779296875,59.22999954223633,82700
2013-09-12,56.93000030517578,55.810001373291016,55.150001525878906,57.209999084472656,125200
2013-09-13,56.11000061035156,55.5,52.630001068115234,56.790000915527344,169000
2013-09-16,55.63999938964844,56.310001373291016,54.119998931884766,57.130001068115234,160600
2013-09-17,56.0,55.45000076293945,55.06999969482422,56.119998931884766,120800
2013-09-18,55.619998931884766,57.9900016784668,55.040000915527344,58.08000183105469,121800
2013-09-19,58.27000045776367,57.470001220703125,56.849998474121094,59.0,110600
2013-09-20,57.90999984741211,56.4900016784668,55.93000030517578,57.90999984741211,341700
2013-09-23,56.060001373291016,55.25,53.599998474121094,56.709999084472656,87400
2013-09-24,55.36000061035156,55.09000015258789,54.279998779296875,56.36000061035156,70200
2013-09-25,55.27000045776367,55.34000015258789,54.619998931884766,55.959999084472656,49800
2013-09-26,55.279998779296875,55.599998474121094,54.599998474121094,55.869998931884766,62400
2013-09-27,55.18000030517578,54.70000076293945,54.310001373291016,55.779998779296875,82500
2013-09-30,54.77000045776367,53.65999984741211,53.310001373291016,54.77000045776367,223600
2013-10-01,53.81999969482422,55.81999969482422,53.81999969482422,55.84000015258789,146000
2013-10-02,55.59000015258789,55.65999984741211,54.880001068115234,56.13999938964844,122000
2013-10-03,55.560001373291016,55.220001220703125,54.27000045776367,56.279998779296875,72400
2013-10-04,55.06999969482422,56.290000915527344,54.33000183105469,57.72999954223633,143500
2013-10-07,56.0,54.900001525878906,54.52000045776367,56.0,46200
2013-10-08,54.79999923706055,48.15999984741211,47.290000915527344,55.130001068115234,244100
