Date,piiopen,piiclose,piilow,piihigh,piivolume
2016-09-02,86.33999633789062,83.94000244140625,83.58999633789062,86.79000091552734,1217300.0
2016-09-06,84.4800033569336,83.5199966430664,82.77999877929688,84.73999786376953,1288600.0
2016-09-07,83.7699966430664,83.81999969482422,82.9800033569336,84.2699966430664,804500.0
2016-09-08,83.12000274658203,82.79000091552734,82.06999969482422,83.62999725341797,812700.0
2016-09-09,82.08000183105469,80.83999633789062,79.58999633789062,83.30000305175781,2636800.0
2016-09-12,74.36000061035156,76.79000091552734,73.0999984741211,77.48999786376953,8942700.0
2016-09-13,75.9800033569336,74.8499984741211,73.55000305175781,76.3499984741211,2681500.0
2016-09-14,75.02999877929688,73.41000366210938,73.2300033569336,76.06999969482422,1640400.0
2016-09-15,73.2300033569336,71.79000091552734,71.5,73.80000305175781,2709800.0
2016-09-16,71.58999633789062,70.5,70.13999938964844,71.75,1804900.0
2016-09-19,71.0999984741211,71.98999786376953,71.08000183105469,73.0199966430664,1572800.0
2016-09-20,72.0999984741211,71.5199966430664,71.48999786376953,72.61000061035156,1691900.0
2016-09-21,72.05000305175781,73.94000244140625,72.05000305175781,74.7699966430664,1953500.0
2016-09-22,74.69999694824219,73.80999755859375,73.68000030517578,75.47000122070312,872000.0
2016-09-23,73.68000030517578,74.88999938964844,73.5199966430664,75.13999938964844,1151600.0
2016-09-26,74.30999755859375,74.08000183105469,74.02999877929688,74.7699966430664,1013800.0
2016-09-27,74.16000366210938,75.2300033569336,73.55000305175781,75.5,1088400.0
2016-09-28,75.6500015258789,75.0199966430664,74.4800033569336,76.72000122070312,1402700.0
2016-09-29,75.06999969482422,75.47000122070312,74.76000213623047,76.37000274658203,999000.0
2016-09-30,76.13999938964844,77.44000244140625,75.75,77.86000061035156,1354600.0
2016-10-03,77.16000366210938,77.5,76.43000030517578,77.69999694824219,1030600.0
2016-10-04,76.6500015258789,74.06999969482422,73.0999984741211,76.6500015258789,1973200.0
2016-10-05,74.51000213623047,75.5,74.16000366210938,76.1500015258789,900400.0
2016-10-06,75.45999908447266,74.27999877929688,73.87999725341797,75.56999969482422,930300.0
