Date,vstmopen,vstmclose,vstmlow,vstmhigh,vstmvolume
2014-07-28,8.279999732971191,7.960000038146973,7.900000095367432,8.289999961853027,278100
2014-07-29,7.940000057220459,7.980000019073486,7.909999847412109,8.180000305175781,194600
2014-07-30,8.119999885559082,8.109999656677246,7.980000019073486,8.210000038146973,186700
2014-07-31,7.949999809265137,7.389999866485596,7.329999923706055,8.15999984741211,331700
2014-08-01,7.369999885559082,7.449999809265137,7.28000020980835,7.71999979019165,182500
2014-08-04,7.550000190734863,7.789999961853027,7.519999980926514,7.820000171661377,176800
2014-08-05,7.699999809265137,8.300000190734863,7.610000133514404,8.329999923706055,231700
2014-08-06,8.140000343322754,8.449999809265137,7.980000019073486,8.520000457763672,169000
2014-08-07,8.539999961853027,8.180000305175781,8.069999694824219,8.569999694824219,126600
2014-08-08,8.100000381469727,8.180000305175781,7.829999923706055,8.25,169000
2014-08-11,8.279999732971191,8.699999809265137,8.09000015258789,8.779999732971191,200300
2014-08-12,8.609999656677246,8.539999961853027,8.5,8.6899995803833,154900
2014-08-13,8.579999923706055,8.899999618530273,8.5,8.989999771118164,139500
2014-08-14,8.90999984741211,9.260000228881836,8.90999984741211,9.300000190734863,147700
2014-08-15,9.34000015258789,8.989999771118164,8.949999809265137,9.59000015258789,199200
2014-08-18,9.109999656677246,8.850000381469727,8.829999923706055,9.199999809265137,204200
2014-08-19,8.850000381469727,9.020000457763672,8.739999771118164,9.15999984741211,212500
2014-08-20,8.9399995803833,8.890000343322754,8.770000457763672,9.100000381469727,86300
2014-08-21,8.829999923706055,8.59000015258789,8.520000457763672,8.9399995803833,132400
2014-08-22,8.600000381469727,8.630000114440918,8.329999923706055,8.699999809265137,115900
2014-08-25,8.760000228881836,8.729999542236328,8.609999656677246,9.0,131900
2014-08-26,8.75,9.109999656677246,8.720000267028809,9.199999809265137,135600
2014-08-27,9.239999771118164,8.989999771118164,8.970000267028809,9.369999885559082,123200
2014-08-28,9.020000457763672,8.829999923706055,8.800000190734863,9.180000305175781,132300
2014-08-29,8.859999656677246,8.710000038146973,8.539999961853027,8.9399995803833,239900
2014-09-02,8.819999694824219,8.710000038146973,8.5600004196167,8.819999694824219,102100
2014-09-03,8.800000190734863,8.680000305175781,8.5,8.800000190734863,111400
2014-09-04,8.739999771118164,8.779999732971191,8.6899995803833,8.989999771118164,274800
2014-09-05,8.739999771118164,8.670000076293945,8.329999923706055,8.880000114440918,222200
2014-09-08,8.670000076293945,9.489999771118164,8.640000343322754,9.489999771118164,380100
2014-09-09,9.609999656677246,9.239999771118164,9.210000038146973,9.699999809265137,121800
2014-09-10,9.260000228881836,9.59000015258789,9.239999771118164,9.640000343322754,256900
2014-09-11,9.5,9.920000076293945,9.5,9.949999809265137,132500
2014-09-12,9.890000343322754,9.369999885559082,9.279999732971191,9.949999809265137,184100
2014-09-15,9.319999694824219,9.010000228881836,8.859999656677246,9.460000038146973,195900
2014-09-16,9.0,8.90999984741211,8.75,9.100000381469727,174600
2014-09-17,8.949999809265137,9.350000381469727,8.949999809265137,9.600000381469727,151100
2014-09-18,9.489999771118164,9.640000343322754,9.319999694824219,9.680000305175781,220500
2014-09-19,9.710000038146973,9.229999542236328,9.180000305175781,10.0600004196167,331900
2014-09-22,9.25,9.180000305175781,8.920000076293945,9.300000190734863,202100
2014-09-23,9.149999618530273,8.960000038146973,8.930000305175781,9.260000228881836,99200
2014-09-24,8.989999771118164,8.979999542236328,8.850000381469727,9.180000305175781,89900
2014-09-25,8.90999984741211,8.859999656677246,8.59000015258789,8.989999771118164,147800
2014-09-26,8.930000305175781,8.819999694824219,8.670000076293945,8.979999542236328,59900
2014-09-29,8.609999656677246,8.600000381469727,8.449999809265137,8.90999984741211,119300
2014-09-30,8.609999656677246,8.520000457763672,8.510000228881836,8.739999771118164,122400
2014-10-01,8.550000190734863,8.779999732971191,8.380000114440918,8.850000381469727,141800
2014-10-02,8.779999732971191,9.630000114440918,8.779999732971191,9.779999732971191,225300
2014-10-03,9.760000228881836,9.770000457763672,9.369999885559082,10.3100004196167,335800
2014-10-06,9.779999732971191,9.069999694824219,9.029999732971191,9.800000190734863,127500
2014-10-07,8.890000343322754,8.479999542236328,8.319999694824219,8.949999809265137,710100
2014-10-08,8.449999809265137,8.6899995803833,8.029999732971191,8.720000267028809,216400
2014-10-09,8.6899995803833,8.40999984741211,8.319999694824219,8.930000305175781,127800
2014-10-10,8.359999656677246,8.329999923706055,8.300000190734863,8.819999694824219,148400
2014-10-13,8.390000343322754,8.640000343322754,8.100000381469727,8.84000015258789,164500
2014-10-14,8.770000457763672,9.020000457763672,8.5,9.239999771118164,284000
2014-10-15,8.739999771118164,9.029999732971191,8.4399995803833,9.130000114440918,227300
2014-10-16,8.8100004196167,9.170000076293945,8.579999923706055,9.399999618530273,287900
2014-10-17,9.420000076293945,8.949999809265137,8.84000015258789,9.420000076293945,170900
2014-10-20,8.880000114440918,9.199999809265137,8.880000114440918,9.380000114440918,106600
2014-10-21,9.079999923706055,8.979999542236328,8.789999961853027,9.199999809265137,140100
2014-10-22,9.050000190734863,8.989999771118164,8.8100004196167,9.149999618530273,104900
