Date,astcopen,astcclose,astclow,astchigh,astcvolume
2016-07-25,9.0,8.949999809265137,8.5,9.199999809265137,3800.0
2016-07-26,8.899999618530273,9.100000381469727,8.649999618530273,9.100000381469727,2100.0
2016-07-27,9.350000381469727,8.949999809265137,8.699999809265137,9.350000381469727,6200.0
2016-07-28,8.850000381469727,8.850000381469727,8.649999618530273,8.850000381469727,4900.0
2016-07-29,8.649999618530273,8.899999618530273,8.550000190734863,8.949999809265137,6300.0
2016-08-01,8.699999809265137,8.850000381469727,8.449999809265137,9.0,5600.0
2016-08-02,8.75,8.550000190734863,7.650000095367432,8.75,13700.0
2016-08-03,8.5,8.449999809265137,7.849999904632568,8.5,4000.0
2016-08-04,8.5,8.350000381469727,8.100000381469727,8.649999618530273,1200.0
2016-08-05,8.25,8.300000190734863,8.050000190734863,8.550000190734863,6500.0
2016-08-08,8.100000381469727,8.199999809265137,8.0,8.300000190734863,6100.0
2016-08-09,8.100000381469727,8.350000381469727,8.100000381469727,8.399999618530273,5300.0
2016-08-10,8.100000381469727,8.350000381469727,8.100000381469727,9.050000190734863,19200.0
2016-08-11,8.649999618530273,8.199999809265137,7.949999809265137,8.699999809265137,21800.0
2016-08-12,8.050000190734863,8.0,7.949999809265137,8.399999618530273,12300.0
2016-08-15,7.949999809265137,8.199999809265137,7.949999809265137,8.399999618530273,10200.0
2016-08-16,8.0,7.650000095367432,7.650000095367432,8.300000190734863,10900.0
2016-08-17,7.599999904632568,7.449999809265137,7.349999904632568,7.900000095367432,16300.0
2016-08-18,7.300000190734863,7.25,7.050000190734863,7.800000190734863,8400.0
2016-08-19,7.25,7.050000190734863,7.0,7.650000095367432,7400.0
2016-08-22,7.25,7.449999809265137,7.199999809265137,7.650000095367432,4600.0
2016-08-23,9.550000190734863,8.850000381469727,8.550000190734863,9.949999809265137,152400.0
2016-08-24,9.0,8.600000381469727,8.5,9.5,31800.0
2016-08-25,8.649999618530273,8.75,8.5,8.800000190734863,7400.0
2016-08-26,8.75,8.699999809265137,8.5,9.050000190734863,9300.0
2016-08-29,8.899999618530273,8.75,8.600000381469727,8.949999809265137,7500.0
2016-08-30,8.800000190734863,8.550000190734863,8.5,9.050000190734863,4300.0
2016-08-31,8.850000381469727,8.800000190734863,8.649999618530273,9.0,7300.0
2016-09-01,8.800000190734863,9.050000190734863,8.5,9.100000381469727,10900.0
2016-09-02,8.699999809265137,9.25,8.699999809265137,9.449999809265137,6800.0
2016-09-06,9.449999809265137,10.5,9.350000381469727,11.100000381469727,79100.0
2016-09-07,10.899999618530273,10.050000190734863,10.0,11.149999618530273,25800.0
2016-09-08,9.899999618530273,9.850000381469727,9.850000381469727,10.600000381469727,2900.0
2016-09-09,9.800000190734863,9.199999809265137,9.149999618530273,10.149999618530273,13300.0
2016-09-12,9.25,9.850000381469727,9.25,10.149999618530273,5500.0
2016-09-13,9.75,9.25,9.199999809265137,9.899999618530273,10700.0
2016-09-14,9.050000190734863,9.300000190734863,9.050000190734863,9.5,2000.0
2016-09-15,9.649999618530273,9.350000381469727,9.350000381469727,9.949999809265137,3400.0
2016-09-16,9.600000381469727,9.399999618530273,8.75,9.600000381469727,14400.0
2016-09-19,9.300000190734863,9.050000190734863,9.0,9.399999618530273,5200.0
2016-09-20,8.949999809265137,9.050000190734863,8.949999809265137,9.449999809265137,3300.0
2016-09-21,9.449999809265137,8.699999809265137,8.699999809265137,9.449999809265137,6100.0
2016-09-22,9.350000381469727,8.75,8.649999618530273,9.350000381469727,6000.0
2016-09-23,9.25,9.100000381469727,8.550000190734863,9.25,5300.0
2016-09-26,9.300000190734863,8.5,8.25,9.399999618530273,14800.0
2016-09-27,8.800000190734863,8.75,8.350000381469727,8.800000190734863,3100.0
2016-09-28,8.600000381469727,8.699999809265137,8.399999618530273,8.75,2700.0
2016-09-29,8.75,8.399999618530273,8.399999618530273,8.75,2100.0
2016-09-30,8.350000381469727,8.25,8.25,8.649999618530273,3900.0
2016-10-03,8.25,8.600000381469727,8.25,8.699999809265137,5000.0
2016-10-04,8.350000381469727,8.25,8.25,8.550000190734863,7900.0
2016-10-05,8.300000190734863,8.449999809265137,8.25,8.550000190734863,2000.0
2016-10-06,8.399999618530273,8.449999809265137,8.399999618530273,8.550000190734863,1800.0
2016-10-07,8.399999618530273,8.649999618530273,8.25,8.649999618530273,4200.0
