Date,shpgfopen,shpgfclose,shpgflow,shpgfhigh,shpgfvolume
2010-07-15,21.950000762939453,21.950000762939453,21.950000762939453,21.950000762939453,0.0
2010-07-16,23.040000915527344,23.040000915527344,23.040000915527344,23.040000915527344,5000.0
2010-07-19,22.100000381469727,22.200000762939453,22.100000381469727,22.200000762939453,1800.0
2010-07-20,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,0.0
2010-07-21,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,0.0
2010-07-22,22.600000381469727,22.600000381469727,22.600000381469727,22.600000381469727,2200.0
2010-07-23,22.600000381469727,22.600000381469727,22.600000381469727,22.600000381469727,0.0
2010-07-26,22.75,22.75,22.75,22.75,300.0
2010-07-27,22.5,22.5,22.5,22.5,200.0
2010-07-28,22.649999618530273,22.649999618530273,22.649999618530273,22.649999618530273,300.0
2010-07-29,23.25,23.25,23.25,23.25,1200.0
2010-07-30,22.600000381469727,22.600000381469727,22.600000381469727,22.600000381469727,300.0
2010-08-02,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,75000.0
2010-08-03,23.399999618530273,23.399999618530273,23.399999618530273,23.469999313354492,151400.0
2010-08-04,23.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,0.0
2010-08-05,22.75,22.75,22.75,22.75,300.0
2010-08-06,22.850000381469727,22.850000381469727,22.850000381469727,22.850000381469727,300.0
2010-08-09,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,400.0
2010-08-10,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-11,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-12,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-13,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-16,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-17,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-18,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
