Date,ptnopen,ptnclose,ptnlow,ptnhigh,ptnvolume
2014-06-26,1.0099999904632568,0.9800000190734863,0.9700000286102295,1.0099999904632568,250900.0
2014-06-27,0.9900000095367432,1.0,0.9900000095367432,1.0299999713897705,195300.0
2014-06-30,1.0299999713897705,0.9900000095367432,0.9800000190734863,1.0299999713897705,168400.0
2014-07-01,1.0099999904632568,1.0299999713897705,0.9900000095367432,1.0299999713897705,102000.0
2014-07-02,1.0399999618530273,1.059999942779541,1.0299999713897705,1.090000033378601,336400.0
2014-07-03,1.0800000429153442,1.100000023841858,1.059999942779541,1.100000023841858,77200.0
2014-07-07,1.100000023841858,1.1100000143051147,1.0800000429153442,1.1699999570846558,240900.0
2014-07-08,1.1399999856948853,1.090000033378601,1.0700000524520874,1.149999976158142,98500.0
2014-07-09,1.1399999856948853,1.0800000429153442,1.0800000429153442,1.1399999856948853,82800.0
2014-07-10,1.0700000524520874,1.0700000524520874,1.059999942779541,1.0800000429153442,81400.0
2014-07-11,1.0800000429153442,1.0499999523162842,1.0499999523162842,1.1100000143051147,119100.0
2014-07-14,1.059999942779541,1.0499999523162842,1.0499999523162842,1.0700000524520874,40300.0
2014-07-15,1.0499999523162842,1.0099999904632568,1.0,1.0499999523162842,177700.0
2014-07-16,1.0099999904632568,1.0299999713897705,1.0,1.0299999713897705,69500.0
2014-07-17,1.0399999618530273,1.0199999809265137,0.9900000095367432,1.0399999618530273,216900.0
2014-07-18,1.0,1.0,0.9900000095367432,1.0499999523162842,58700.0
2014-07-21,1.0,1.0499999523162842,0.9900000095367432,1.0499999523162842,129300.0
2014-07-22,1.0499999523162842,1.0700000524520874,1.0499999523162842,1.0800000429153442,149100.0
2014-07-23,1.0700000524520874,1.0099999904632568,1.0,1.0700000524520874,91000.0
2014-07-24,1.0099999904632568,1.0199999809265137,1.0,1.0299999713897705,158400.0
2014-07-25,1.0299999713897705,1.0299999713897705,1.0,1.0299999713897705,79000.0
2014-07-28,1.0199999809265137,1.0,0.9900000095367432,1.0299999713897705,148800.0
2014-07-29,1.0,1.0099999904632568,0.9800000190734863,1.0099999904632568,149900.0
2014-07-30,1.0,1.0,0.9800000190734863,1.0199999809265137,122200.0
2014-07-31,1.0,1.0,1.0,1.0099999904632568,50800.0
2014-08-01,0.9700000286102295,0.9300000071525574,0.9300000071525574,0.9900000095367432,301000.0
2014-08-04,0.9300000071525574,0.949999988079071,0.9200000166893005,0.949999988079071,97400.0
2014-08-05,0.9399999976158142,0.9599999785423279,0.9399999976158142,0.9599999785423279,30400.0
2014-08-06,0.9399999976158142,0.9399999976158142,0.9300000071525574,0.9599999785423279,104500.0
2014-08-07,0.9300000071525574,0.9300000071525574,0.9300000071525574,0.949999988079071,53500.0
2014-08-08,0.9300000071525574,0.9399999976158142,0.9300000071525574,0.949999988079071,70600.0
2014-08-11,0.9300000071525574,0.9399999976158142,0.9300000071525574,0.949999988079071,22600.0
2014-08-12,0.949999988079071,0.9300000071525574,0.9300000071525574,0.949999988079071,64400.0
2014-08-13,0.9300000071525574,0.9300000071525574,0.9200000166893005,0.9300000071525574,55100.0
2014-08-14,0.9399999976158142,0.949999988079071,0.9300000071525574,0.949999988079071,27100.0
2014-08-15,0.949999988079071,0.9399999976158142,0.9399999976158142,0.949999988079071,33500.0
2014-08-18,0.9300000071525574,0.9200000166893005,0.9200000166893005,0.9300000071525574,62300.0
2014-08-19,0.9300000071525574,0.9399999976158142,0.9200000166893005,0.9399999976158142,15400.0
2014-08-20,0.9300000071525574,0.9300000071525574,0.9300000071525574,0.949999988079071,63100.0
2014-08-21,0.9300000071525574,0.9399999976158142,0.9200000166893005,0.949999988079071,36100.0
2014-08-22,0.9399999976158142,0.9200000166893005,0.9200000166893005,0.949999988079071,24700.0
2014-08-25,0.9300000071525574,0.9300000071525574,0.9200000166893005,0.9399999976158142,69800.0
2014-08-26,0.9200000166893005,0.8799999952316284,0.8600000143051147,0.9300000071525574,158200.0
2014-08-27,0.8700000047683716,0.8600000143051147,0.8500000238418579,0.8799999952316284,149500.0
2014-08-28,0.8500000238418579,0.8600000143051147,0.8399999737739563,0.8899999856948853,108300.0
2014-08-29,0.8500000238418579,0.8500000238418579,0.8399999737739563,0.8700000047683716,100700.0
2014-09-02,0.8500000238418579,0.9100000262260437,0.8500000238418579,0.9300000071525574,134200.0
