Date,lllopen,lllclose,llllow,lllhigh,lllvolume
2008-07-09,89.81710815429688,88.10794830322266,88.10794830322266,89.81710815429688,1450200.0
2008-07-10,88.3768081665039,88.07914733886719,86.66764831542969,88.81849670410156,1278400.0
2008-07-11,87.25337219238281,87.27257537841797,86.37959289550781,88.46322631835938,1237700.0
2008-07-14,87.54143524169922,87.08053588867188,86.17794799804688,88.06954193115234,1020800.0
2008-07-15,86.42760467529297,86.68685913085938,85.32337188720703,87.27257537841797,940200.0
2008-07-16,86.61964416503906,87.97352600097656,85.1889419555664,88.01193237304688,1212400.0
2008-07-17,88.36720275878906,85.47700500488281,85.20814514160156,88.65526580810547,1973000.0
2008-07-18,84.68963623046875,88.39601135253906,83.92147827148438,88.51123809814453,1562100.0
2008-07-21,88.15596008300781,88.58805084228516,87.09014129638672,88.63606262207031,1077000.0
2008-07-22,87.90631103515625,89.48104095458984,87.90631103515625,90.46044158935547,1023000.0
2008-07-23,89.83631134033203,91.84313201904297,88.7992935180664,92.12158966064453,1160400.0
2008-07-24,92.89935302734375,88.7608871459961,88.3384017944336,93.26422882080078,1538000.0
2008-07-25,89.31780242919922,90.87332916259766,88.3384017944336,90.87332916259766,1004600.0
2008-07-28,90.80611419677734,89.81710815429688,89.62506866455078,90.80611419677734,783100.0
2008-07-29,90.49884796142578,92.50566864013672,90.07636260986328,92.73611450195312,1058100.0
2008-07-30,92.81293487548828,94.28203582763672,92.74571990966797,94.37805938720703,1293200.0
2008-07-31,93.7635269165039,94.76213836669922,93.13939666748047,95.94318389892578,1231000.0
2008-08-01,94.6661148071289,94.30123901367188,93.87875366210938,95.72233581542969,932400.0
2008-08-04,94.76213836669922,94.52208709716797,93.96517181396484,95.29985046386719,620200.0
2008-08-05,95.1366195678711,96.16403198242188,95.04059600830078,96.4328842163086,1122200.0
2008-08-06,96.0199966430664,96.4905014038086,95.15582275390625,96.73054504394531,602500.0
2008-08-07,96.06800842285156,95.09820556640625,92.84173583984375,96.97059631347656,825100.0
2008-08-08,94.915771484375,98.05562591552734,94.915771484375,98.0748291015625,541000.0
2008-08-11,98.06522369384766,98.32447814941406,97.13383483886719,98.93901062011719,556000.0
2008-08-12,97.66194152832031,99.44791412353516,97.66194152832031,99.97602081298828,772700.0
2008-08-13,99.1406478881836,100.60975646972656,98.65094757080078,101.36831665039062,1119600.0
2008-08-14,100.12005615234375,99.5919418334961,98.6893539428711,100.44652557373047,947300.0
2008-08-15,99.97602081298828,101.61796569824219,99.91841125488281,102.107666015625,870700.0
2008-08-18,101.78119659423828,101.66597747802734,100.71537780761719,102.2997055053711,710200.0
2008-08-19,100.93622589111328,99.77438354492188,99.71676635742188,101.50273895263672,708200.0
2008-08-20,99.21746826171875,99.80318450927734,98.43970489501953,100.17766571044922,758100.0
2008-08-21,99.31348419189453,99.77438354492188,98.7565689086914,100.17766571044922,563200.0
2008-08-22,100.14885711669922,100.69617462158203,99.61114501953125,100.84980773925781,460100.0
2008-08-25,99.5919418334961,99.4287109375,98.65094757080078,100.34089660644531,352400.0
2008-08-26,99.26547241210938,99.82239532470703,99.02542877197266,100.12005615234375,459900.0
2008-08-27,99.6591567993164,99.95681762695312,99.30388641357422,100.331298828125,386400.0
2008-08-28,100.360107421875,101.38751983642578,100.0720443725586,101.75239562988281,593100.0
2008-08-29,100.79219055175781,99.80318450927734,99.28468322753906,101.4259262084961,603900.0
2008-09-02,101.14746856689453,99.73597717285156,99.40950775146484,102.72219848632812,761100.0
2008-09-03,99.73597717285156,99.37110137939453,98.85259246826172,100.360107421875,823000.0
2008-09-04,99.37110137939453,96.00079345703125,95.61671447753906,99.61114501953125,1016600.0
2008-09-05,95.42467498779297,98.554931640625,95.42467498779297,99.11184692382812,1841300.0
2008-09-08,100.1008529663086,101.0418472290039,98.57413482666016,101.3971176147461,1028400.0
2008-09-09,101.06105041503906,101.16667175292969,101.06105041503906,102.7509994506836,1096200.0
2008-09-10,101.05144500732422,98.36288452148438,97.94039916992188,101.85801696777344,2369000.0
2008-09-11,97.57552337646484,98.3052749633789,96.34646606445312,98.64134979248047,1147300.0
2008-09-12,97.95000457763672,99.05422973632812,97.06661987304688,99.30388641357422,511300.0
2008-09-15,97.01860809326172,95.6263198852539,95.6263198852539,98.21885681152344,885000.0
2008-09-16,95.6263198852539,96.73054504394531,91.22859954833984,97.50830841064453,1158700.0
2008-09-17,95.32865905761719,94.4356689453125,94.4068603515625,96.85537719726562,1118300.0
2008-09-18,95.53990173339844,98.32447814941406,93.7635269165039,98.87179565429688,1262600.0
