Date,mlmopen,mlmclose,mlmlow,mlmhigh,mlmvolume
2014-06-16,131.3300018310547,130.99000549316406,130.3800048828125,133.44000244140625,441000.0
2014-06-17,131.50999450683594,130.75,129.69000244140625,132.11000061035156,550300.0
2014-06-18,131.00999450683594,134.11000061035156,130.32000732421875,134.8000030517578,749300.0
2014-06-19,134.1699981689453,134.07000732421875,132.75,134.4600067138672,264200.0
2014-06-20,133.97999572753906,134.91000366210938,132.74000549316406,134.9600067138672,654000.0
2014-06-23,135.97000122070312,133.80999755859375,133.5,136.36000061035156,602600.0
2014-06-24,133.0399932861328,131.38999938964844,131.0,133.57000732421875,672900.0
2014-06-25,131.4199981689453,130.92999267578125,130.6300048828125,131.89999389648438,449100.0
2014-06-26,131.30999755859375,130.1300048828125,129.30999755859375,131.44000244140625,368700.0
2014-06-27,129.44000244140625,132.22999572753906,129.44000244140625,132.60000610351562,760400.0
2014-06-30,134.0,132.0500030517578,130.0399932861328,134.0,4975900.0
2014-07-01,133.3000030517578,132.0,132.0,134.63999938964844,18481700.0
2014-07-02,130.0,127.05999755859375,126.30000305175781,130.0,2402900.0
2014-07-03,127.8499984741211,126.66999816894531,126.43000030517578,128.86000061035156,1103800.0
2014-07-07,125.69999694824219,125.19999694824219,124.44000244140625,126.41999816894531,1463000.0
2014-07-08,124.7699966430664,126.41999816894531,124.62000274658203,127.3499984741211,1435700.0
2014-07-09,126.58999633789062,127.7699966430664,125.72000122070312,127.80000305175781,1415300.0
2014-07-10,127.33999633789062,129.3000030517578,126.9000015258789,129.60000610351562,1269800.0
2014-07-11,131.33999633789062,129.1199951171875,127.75,131.33999633789062,905800.0
2014-07-14,129.41000366210938,129.52000427246094,128.32000732421875,129.6699981689453,609000.0
2014-07-15,129.3800048828125,129.52000427246094,129.25,130.11000061035156,663300.0
2014-07-16,130.0,129.74000549316406,128.55999755859375,130.0,860500.0
2014-07-17,128.74000549316406,128.1699981689453,127.88999938964844,129.86000061035156,574500.0
2014-07-18,128.13999938964844,130.52000427246094,127.58999633789062,131.6300048828125,1164100.0
2014-07-21,129.6699981689453,127.87000274658203,127.5999984741211,130.1300048828125,697200.0
2014-07-22,129.6199951171875,130.07000732421875,129.39999389648438,130.1999969482422,704100.0
2014-07-23,129.61000061035156,131.6199951171875,129.14999389648438,131.77999877929688,592200.0
2014-07-24,131.3699951171875,131.89999389648438,130.61000061035156,132.66000366210938,849800.0
2014-07-25,131.16000366210938,130.88999938964844,130.0,131.82000732421875,638300.0
2014-07-28,130.72999572753906,128.83999633789062,128.61000061035156,131.66000366210938,885900.0
2014-07-29,132.1300048828125,129.1699981689453,129.02999877929688,132.72999572753906,1653200.0
2014-07-30,130.1999969482422,128.52999877929688,127.80999755859375,132.05999755859375,1161400.0
2014-07-31,127.73999786376953,124.2300033569336,123.66000366210938,127.91000366210938,1634400.0
2014-08-01,124.0,125.75,123.63999938964844,126.91999816894531,1034000.0
2014-08-04,126.0999984741211,126.75,125.4000015258789,127.0,525400.0
2014-08-05,125.94000244140625,126.5999984741211,125.86000061035156,128.36000061035156,855400.0
2014-08-06,125.58999633789062,126.11000061035156,125.58999633789062,127.08999633789062,470600.0
2014-08-07,126.81999969482422,125.79000091552734,125.1500015258789,127.63999938964844,609800.0
2014-08-08,125.91999816894531,127.11000061035156,125.66999816894531,127.3499984741211,840600.0
2014-08-11,127.62000274658203,126.0,125.94999694824219,127.81999969482422,858800.0
2014-08-12,125.5999984741211,125.58999633789062,124.73999786376953,126.69000244140625,579000.0
2014-08-13,126.45999908447266,126.5,125.80000305175781,126.72000122070312,546900.0
2014-08-14,126.94999694824219,127.4800033569336,126.05000305175781,127.55999755859375,622200.0
2014-08-15,127.72000122070312,126.86000061035156,125.94999694824219,128.0,469700.0
2014-08-18,127.5,127.97000122070312,126.91000366210938,128.16000366210938,537400.0
2014-08-19,128.36000061035156,129.13999938964844,128.36000061035156,129.75,683200.0
2014-08-20,128.5500030517578,129.2100067138672,128.1699981689453,129.25,482200.0
2014-08-21,129.5,129.13999938964844,128.5399932861328,129.5,627500.0
2014-08-22,128.77000427246094,129.17999267578125,128.24000549316406,129.74000549316406,513800.0
2014-08-25,129.47999572753906,129.3000030517578,128.9199981689453,129.97999572753906,487200.0
2014-08-26,129.6999969482422,130.72000122070312,129.32000732421875,131.83999633789062,1019800.0
2014-08-27,130.97999572753906,130.10000610351562,129.2899932861328,131.38999938964844,415300.0
