Date,ppgopen,ppgclose,ppglow,ppghigh,ppgvolume
2018-07-09,103.22000122070312,103.91999816894531,103.08999633789062,104.16999816894531,1171200.0
2018-07-10,104.12000274658203,104.80000305175781,103.70999908447266,104.87000274658203,1340700.0
2018-07-11,103.91000366210938,103.75,103.33999633789062,104.79000091552734,1683500.0
2018-07-12,104.44000244140625,103.83999633789062,103.30000305175781,104.44000244140625,1476800.0
2018-07-13,103.41000366210938,103.98999786376953,102.9000015258789,104.1500015258789,1568700.0
2018-07-16,103.8499984741211,102.37000274658203,101.91000366210938,104.02999877929688,2177000.0
2018-07-17,102.3499984741211,105.41000366210938,102.08000183105469,105.66000366210938,2170700.0
2018-07-18,106.33000183105469,106.75,105.62000274658203,107.45999908447266,2899700.0
2018-07-19,106.75,106.38999938964844,103.33999633789062,107.0199966430664,2543700.0
2018-07-20,105.87999725341797,105.0,104.80000305175781,105.94000244140625,1391700.0
2018-07-23,104.52999877929688,104.41000366210938,103.8499984741211,105.05000305175781,1772600.0
2018-07-24,104.77999877929688,106.05000305175781,104.37999725341797,106.52999877929688,1375500.0
2018-07-25,108.01000213623047,109.27999877929688,107.38999938964844,109.61000061035156,1933400.0
2018-07-26,109.36000061035156,110.66000366210938,109.13999938964844,111.0,1482900.0
2018-07-27,110.2699966430664,109.44000244140625,108.52999877929688,110.48999786376953,1259800.0
2018-07-30,109.56999969482422,109.73999786376953,109.05000305175781,111.04000091552734,1420700.0
2018-07-31,109.87000274658203,110.66000366210938,109.43000030517578,110.83999633789062,1390300.0
2018-08-01,110.25,109.7300033569336,109.68000030517578,111.16000366210938,1155500.0
2018-08-02,109.31999969482422,109.31999969482422,108.63999938964844,109.86000061035156,975400.0
2018-08-03,109.93000030517578,110.94999694824219,109.66000366210938,111.05999755859375,1041900.0
2018-08-06,110.37000274658203,110.31999969482422,109.70999908447266,110.83999633789062,854600.0
2018-08-07,110.55000305175781,109.95999908447266,109.83999633789062,110.83000183105469,581600.0
2018-08-08,110.16000366210938,109.25,108.58000183105469,110.16000366210938,797700.0
2018-08-09,108.80999755859375,109.20999908447266,108.0999984741211,110.0199966430664,1013200.0
2018-08-10,108.68000030517578,107.45999908447266,107.37000274658203,108.98999786376953,628200.0
2018-08-13,107.29000091552734,106.08000183105469,105.58999633789062,107.63999938964844,1272800.0
2018-08-14,106.05999755859375,106.8499984741211,106.05999755859375,107.20999908447266,771300.0
2018-08-15,106.5199966430664,107.02999877929688,105.44000244140625,107.19999694824219,1310100.0
2018-08-16,107.8499984741211,107.9000015258789,107.37000274658203,108.47000122070312,1213400.0
2018-08-17,108.0199966430664,108.41999816894531,107.4800033569336,108.75,773200.0
