Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2014-04-01,4.320000171661377,4.619999885559082,4.320000171661377,4.619999885559082,200.0
2014-04-02,4.320000171661377,4.619999885559082,4.320000171661377,4.619999885559082,900.0
2014-04-03,4.360000133514404,4.579999923706055,4.360000133514404,4.579999923706055,800.0
2014-04-04,4.360000133514404,4.380000114440918,4.360000133514404,4.539999961853027,1700.0
2014-04-07,4.440000057220459,4.5,4.320000171661377,4.5,300.0
2014-04-08,4.320000171661377,4.360000133514404,4.300000190734863,4.360000133514404,1000.0
2014-04-09,4.360000133514404,4.360000133514404,4.360000133514404,4.360000133514404,0.0
2014-04-10,4.28000020980835,4.599999904632568,4.260000228881836,4.619999885559082,2500.0
2014-04-11,4.539999961853027,4.360000133514404,4.360000133514404,4.539999961853027,1200.0
2014-04-14,4.300000190734863,4.360000133514404,4.300000190734863,4.380000114440918,600.0
2014-04-15,4.360000133514404,4.360000133514404,4.360000133514404,4.360000133514404,0.0
2014-04-16,4.360000133514404,4.360000133514404,4.360000133514404,4.360000133514404,0.0
2014-04-17,4.519999980926514,4.420000076293945,4.420000076293945,4.519999980926514,300.0
2014-04-21,4.420000076293945,4.420000076293945,4.420000076293945,4.420000076293945,0.0
2014-04-22,4.420000076293945,4.420000076293945,4.420000076293945,4.420000076293945,0.0
2014-04-23,4.400000095367432,4.400000095367432,4.300000190734863,4.579999923706055,1900.0
2014-04-24,4.340000152587891,4.320000171661377,4.320000171661377,4.340000152587891,300.0
2014-04-25,4.340000152587891,4.340000152587891,4.340000152587891,4.340000152587891,100.0
2014-04-28,4.340000152587891,4.340000152587891,4.340000152587891,4.340000152587891,100.0
2014-04-29,4.340000152587891,4.340000152587891,4.340000152587891,4.340000152587891,0.0
2014-04-30,4.320000171661377,4.320000171661377,4.320000171661377,4.320000171661377,200.0
2014-05-01,4.28000020980835,4.260000228881836,4.260000228881836,4.28000020980835,1800.0
2014-05-02,4.260000228881836,4.5,4.260000228881836,4.5,1200.0
2014-05-05,4.460000038146973,4.300000190734863,4.300000190734863,4.460000038146973,400.0
2014-05-06,4.400000095367432,4.260000228881836,4.199999809265137,4.460000038146973,3700.0
2014-05-07,4.260000228881836,4.260000228881836,4.260000228881836,4.260000228881836,0.0
2014-05-08,4.21999979019165,4.21999979019165,4.21999979019165,4.21999979019165,400.0
2014-05-09,4.199999809265137,4.300000190734863,4.199999809265137,4.300000190734863,5400.0
2014-05-12,4.360000133514404,4.28000020980835,4.28000020980835,4.360000133514404,900.0
2014-05-13,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,800.0
2014-05-14,4.300000190734863,4.360000133514404,4.21999979019165,4.5,4800.0
2014-05-15,4.380000114440918,4.380000114440918,4.380000114440918,4.400000095367432,1000.0
2014-05-16,4.260000228881836,4.28000020980835,4.21999979019165,4.28000020980835,500.0
2014-05-19,4.300000190734863,4.480000019073486,4.300000190734863,4.480000019073486,2000.0
2014-05-20,4.480000019073486,4.480000019073486,4.480000019073486,4.480000019073486,0.0
2014-05-21,4.5,4.800000190734863,4.21999979019165,4.800000190734863,5000.0
2014-05-22,4.800000190734863,4.880000114440918,4.78000020980835,4.920000076293945,3700.0
2014-05-23,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,1200.0
