Date,nephopen,nephclose,nephlow,nephhigh,nephvolume
2014-05-20,0.7900000214576721,0.699999988079071,0.699999988079071,0.7900000214576721,10300
2014-05-21,0.7300000190734863,0.7400000095367432,0.7300000190734863,0.7400000095367432,3700
2014-05-22,0.7300000190734863,0.7300000190734863,0.7300000190734863,0.7300000190734863,200
2014-05-23,0.7300000190734863,0.7300000190734863,0.7300000190734863,0.7300000190734863,1000
2014-05-27,0.7400000095367432,0.7900000214576721,0.7400000095367432,0.7900000214576721,8300
2014-05-28,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.7900000214576721,0
2014-05-29,0.7900000214576721,0.8899999856948853,0.75,0.8899999856948853,32600
2014-05-30,0.9100000262260437,1.149999976158142,0.8999999761581421,1.2000000476837158,111300
2014-06-02,1.2000000476837158,1.159999966621399,0.8999999761581421,1.2899999618530273,89400
2014-06-03,1.149999976158142,1.1699999570846558,1.0499999523162842,1.2400000095367432,37500
2014-06-04,1.149999976158142,1.149999976158142,1.1100000143051147,1.149999976158142,12700
2014-06-05,1.100000023841858,1.149999976158142,1.100000023841858,1.2000000476837158,27500
2014-06-06,1.1699999570846558,1.2000000476837158,1.1699999570846558,1.25,90200
2014-06-09,1.149999976158142,1.149999976158142,1.1399999856948853,1.1699999570846558,12400
2014-06-10,1.1399999856948853,1.1799999475479126,1.100000023841858,1.190000057220459,10500
2014-06-11,1.1799999475479126,1.149999976158142,1.149999976158142,1.1799999475479126,7300
2014-06-12,1.149999976158142,1.1399999856948853,1.0199999809265137,1.149999976158142,6600
2014-06-13,1.1100000143051147,1.0399999618530273,1.0399999618530273,1.1200000047683716,1600
2014-06-16,1.059999942779541,1.0800000429153442,1.059999942779541,1.1100000143051147,3800
2014-06-17,1.1299999952316284,1.1100000143051147,1.1100000143051147,1.1299999952316284,2200
2014-06-18,1.100000023841858,1.090000033378601,0.8999999761581421,1.100000023841858,26300
2014-06-19,1.0099999904632568,1.0700000524520874,1.0099999904632568,1.0700000524520874,600
2014-06-20,1.0700000524520874,1.0700000524520874,1.0700000524520874,1.0700000524520874,0
2014-06-23,1.0700000524520874,1.0099999904632568,1.0099999904632568,1.0800000429153442,6600
2014-06-24,1.0,1.0,1.0,1.0299999713897705,9400
2014-06-25,1.0299999713897705,1.1200000047683716,1.0299999713897705,1.149999976158142,41300
2014-06-26,1.0099999904632568,1.0800000429153442,1.0099999904632568,1.0800000429153442,2800
2014-06-27,1.0499999523162842,1.100000023841858,1.0499999523162842,1.100000023841858,2000
2014-06-30,1.190000057220459,1.1799999475479126,1.1799999475479126,1.190000057220459,1400
2014-07-01,1.159999966621399,1.149999976158142,1.0800000429153442,1.159999966621399,5200
2014-07-02,1.190000057220459,1.190000057220459,1.1200000047683716,1.190000057220459,3600
2014-07-03,1.1799999475479126,1.1799999475479126,1.1699999570846558,1.1799999475479126,3600
2014-07-07,1.1799999475479126,1.1200000047683716,1.1200000047683716,1.1799999475479126,2000
2014-07-08,1.149999976158142,1.149999976158142,1.149999976158142,1.149999976158142,6500
