Date,uhsopen,uhsclose,uhslow,uhshigh,uhsvolume
2008-07-29,31.594999313354492,30.2450008392334,30.114999771118164,31.594999313354492,4105800.0
2008-07-30,30.53499984741211,30.5,30.084999084472656,33.0,2365400.0
2008-07-31,29.399999618530273,30.309999465942383,29.149999618530273,30.864999771118164,1486800.0
2008-08-01,30.145000457763672,30.604999542236328,29.735000610351562,30.770000457763672,1146600.0
2008-08-04,30.665000915527344,31.045000076293945,30.584999084472656,31.135000228881836,1464200.0
2008-08-05,31.049999237060547,30.604999542236328,30.045000076293945,31.049999237060547,1875400.0
2008-08-06,30.645000457763672,30.299999237060547,29.809999465942383,30.645000457763672,1572600.0
2008-08-07,30.045000076293945,29.875,29.75,30.21500015258789,1642600.0
2008-08-08,29.725000381469727,30.024999618530273,29.594999313354492,30.174999237060547,1196200.0
2008-08-11,30.020000457763672,30.219999313354492,29.915000915527344,30.30500030517578,1321600.0
2008-08-12,30.21500015258789,30.0,29.75,30.21500015258789,951600.0
2008-08-13,29.950000762939453,30.815000534057617,29.774999618530273,31.0,1293800.0
2008-08-14,30.700000762939453,31.579999923706055,30.700000762939453,31.799999237060547,1502200.0
2008-08-15,28.5,32.33000183105469,28.5,32.375,1434800.0
2008-08-18,32.165000915527344,31.540000915527344,31.3799991607666,32.5,911600.0
2008-08-19,31.385000228881836,31.700000762939453,31.385000228881836,31.959999084472656,650200.0
2008-08-20,31.739999771118164,31.31999969482422,31.1299991607666,31.799999237060547,473800.0
2008-08-21,31.200000762939453,31.4950008392334,31.020000457763672,31.684999465942383,714400.0
2008-08-22,31.625,31.4950008392334,31.325000762939453,31.764999389648438,999800.0
2008-08-25,31.489999771118164,31.030000686645508,30.549999237060547,31.489999771118164,668600.0
2008-08-26,31.114999771118164,30.940000534057617,30.5,31.114999771118164,760800.0
2008-08-27,31.059999465942383,31.3700008392334,30.78499984741211,31.719999313354492,997600.0
2008-08-28,31.354999542236328,31.344999313354492,31.165000915527344,31.475000381469727,779000.0
2008-08-29,31.170000076293945,30.889999389648438,30.844999313354492,31.385000228881836,934000.0
2008-09-02,31.125,31.030000686645508,30.639999389648438,31.4950008392334,1017000.0
2008-09-03,31.06999969482422,31.09000015258789,30.9950008392334,31.264999389648438,517800.0
2008-09-04,31.0,30.940000534057617,30.81999969482422,31.094999313354492,1309800.0
2008-09-05,30.915000915527344,31.18000030517578,30.719999313354492,31.25,1145600.0
2008-09-08,31.684999465942383,31.344999313354492,31.110000610351562,31.725000381469727,1115600.0
2008-09-09,31.290000915527344,31.700000762939453,31.1200008392334,31.895000457763672,1510800.0
2008-09-10,31.93000030517578,31.565000534057617,31.385000228881836,31.989999771118164,1910600.0
2008-09-11,31.475000381469727,32.474998474121094,31.094999313354492,32.474998474121094,2155000.0
2008-09-12,32.33000183105469,32.540000915527344,32.04999923706055,32.814998626708984,1210200.0
2008-09-15,32.060001373291016,31.895000457763672,31.104999542236328,32.34000015258789,967800.0
2008-09-16,31.415000915527344,31.59000015258789,31.225000381469727,31.780000686645508,1445400.0
2008-09-17,31.364999771118164,31.03499984741211,30.920000076293945,31.4950008392334,1258600.0
2008-09-18,31.204999923706055,31.295000076293945,30.655000686645508,31.405000686645508,1777600.0
2008-09-19,32.67499923706055,30.94499969482422,30.229999542236328,34.625,2061200.0
2008-09-22,31.05500030517578,30.53499984741211,30.459999084472656,31.530000686645508,865000.0
2008-09-23,30.520000457763672,29.940000534057617,29.719999313354492,31.010000228881836,1321800.0
2008-09-24,29.895000457763672,29.545000076293945,29.450000762939453,29.989999771118164,655600.0
2008-09-25,29.655000686645508,29.639999389648438,29.145000457763672,29.895000457763672,1114800.0
2008-09-26,29.524999618530273,29.125,28.864999771118164,29.53499984741211,1640200.0
2008-09-29,28.899999618530273,28.024999618530273,27.80500030517578,28.934999465942383,1357600.0
2008-09-30,28.309999465942383,28.014999389648438,27.334999084472656,28.309999465942383,1246600.0
2008-10-01,27.145000457763672,26.584999084472656,26.2549991607666,27.145000457763672,2395800.0
2008-10-02,26.295000076293945,26.31999969482422,25.875,26.469999313354492,1695600.0
2008-10-03,26.479999542236328,25.739999771118164,25.670000076293945,26.860000610351562,1242800.0
2008-10-06,25.459999084472656,24.479999542236328,24.06999969482422,25.459999084472656,2169600.0
2008-10-07,24.0049991607666,23.489999771118164,23.405000686645508,24.46500015258789,2036200.0
2008-10-08,22.799999237060547,22.625,22.514999389648438,23.594999313354492,2445400.0
2008-10-09,22.764999389648438,21.56999969482422,21.5,23.350000381469727,1904600.0
2008-10-10,20.0,20.524999618530273,19.059999465942383,21.4950008392334,2678800.0
2008-10-13,21.014999389648438,23.200000762939453,20.985000610351562,23.21500015258789,1713400.0
2008-10-14,23.545000076293945,23.075000762939453,22.479999542236328,24.110000610351562,2347200.0
2008-10-15,22.649999618530273,22.200000762939453,21.959999084472656,22.719999313354492,1449600.0
2008-10-16,22.040000915527344,21.610000610351562,20.5,22.045000076293945,1610800.0
2008-10-17,21.469999313354492,21.125,20.975000381469727,21.90999984741211,1239800.0
2008-10-20,21.2450008392334,21.639999389648438,21.125,21.934999465942383,910400.0
2008-10-21,21.485000610351562,21.604999542236328,21.485000610351562,22.155000686645508,768800.0
2008-10-22,21.325000762939453,21.020000457763672,20.549999237060547,21.579999923706055,1208800.0
2008-10-23,21.0049991607666,19.96500015258789,19.334999084472656,21.145000457763672,1238400.0
2008-10-24,19.375,19.920000076293945,18.905000686645508,20.104999542236328,891000.0
2008-10-27,19.729999542236328,18.3799991607666,18.354999542236328,19.770000457763672,1108200.0
2008-10-28,17.950000762939453,18.4950008392334,16.84000015258789,19.75,3081400.0
2008-10-29,18.665000915527344,19.0049991607666,18.174999237060547,19.59000015258789,2263400.0
2008-10-30,19.264999389648438,20.40999984741211,19.204999923706055,20.454999923706055,2187000.0
2008-10-31,20.44499969482422,21.020000457763672,19.895000457763672,21.229999542236328,1375000.0
2008-11-03,20.94499969482422,21.575000762939453,20.850000381469727,21.93000030517578,779600.0
2008-11-04,21.8700008392334,20.625,20.364999771118164,21.950000762939453,1770800.0
2008-11-05,20.420000076293945,19.889999389648438,19.614999771118164,20.719999313354492,1775800.0
2008-11-06,19.850000381469727,20.204999923706055,19.850000381469727,20.579999923706055,1507200.0
2008-11-07,20.239999771118164,20.399999618530273,19.959999084472656,20.53499984741211,650400.0
2008-11-10,20.6200008392334,20.059999465942383,19.81999969482422,20.799999237060547,711600.0
2008-11-11,19.84000015258789,20.200000762939453,19.424999237060547,20.6200008392334,1241400.0
2008-11-12,19.94499969482422,19.5,19.440000534057617,20.239999771118164,1026400.0
2008-11-13,19.59000015258789,20.850000381469727,19.145000457763672,20.850000381469727,1226200.0
2008-11-14,20.55500030517578,19.510000228881836,19.450000762939453,20.834999084472656,1045400.0
2008-11-17,19.575000762939453,19.774999618530273,19.415000915527344,20.479999542236328,1225000.0
2008-11-18,19.799999237060547,19.924999237060547,19.049999237060547,20.299999237060547,1993400.0
2008-11-19,19.860000610351562,18.450000762939453,18.3799991607666,20.334999084472656,1100200.0
2008-11-20,18.334999084472656,16.415000915527344,16.399999618530273,18.399999618530273,1556400.0
2008-11-21,16.565000534057617,16.219999313354492,15.300000190734863,16.719999313354492,2563400.0
2008-11-24,16.299999237060547,16.899999618530273,15.725000381469727,17.145000457763672,3039400.0
2008-11-25,16.864999771118164,17.790000915527344,15.949999809265137,17.844999313354492,1409200.0
2008-11-26,17.280000686645508,18.065000534057617,17.280000686645508,18.204999923706055,1321000.0
2008-11-28,18.149999618530273,18.575000762939453,17.854999542236328,18.670000076293945,422800.0
2008-12-01,18.125,16.975000381469727,16.725000381469727,18.125,1916200.0
2008-12-02,17.149999618530273,17.704999923706055,16.815000534057617,17.825000762939453,1340800.0
2008-12-03,17.424999237060547,17.610000610351562,16.985000610351562,17.655000686645508,1653400.0
2008-12-04,17.405000686645508,17.100000381469727,16.825000762939453,17.725000381469727,1179200.0
