Date,cohropen,cohrclose,cohrlow,cohrhigh,cohrvolume
2008-06-11,32.56999969482422,32.470001220703125,31.93000030517578,32.79999923706055,82600.0
2008-06-12,32.5,32.27000045776367,31.510000228881836,32.810001373291016,62000.0
2008-06-13,32.41999816894531,33.22999954223633,32.380001068115234,33.279998779296875,97800.0
2008-06-16,33.08000183105469,33.349998474121094,32.83000183105469,33.720001220703125,111800.0
2008-06-17,33.4900016784668,33.52000045776367,32.9900016784668,33.7400016784668,74600.0
2008-06-18,33.52000045776367,33.79999923706055,33.2599983215332,34.150001525878906,314700.0
2008-06-19,33.68000030517578,33.130001068115234,32.95000076293945,33.68000030517578,77900.0
2008-06-20,33.119998931884766,32.81999969482422,32.75,33.119998931884766,74800.0
2008-06-23,33.099998474121094,32.72999954223633,32.70000076293945,33.150001525878906,125200.0
2008-06-24,32.77000045776367,31.84000015258789,31.75,32.77000045776367,110400.0
2008-06-25,31.81999969482422,31.770000457763672,31.510000228881836,32.13999938964844,81400.0
2008-06-26,31.670000076293945,31.030000686645508,31.020000457763672,31.959999084472656,148300.0
2008-06-27,31.43000030517578,30.6200008392334,30.110000610351562,31.5,3041000.0
2008-06-30,30.510000228881836,29.889999389648438,29.889999389648438,30.90999984741211,229000.0
2008-07-01,29.760000228881836,30.09000015258789,29.510000228881836,30.649999618530273,133600.0
2008-07-02,30.010000228881836,29.6200008392334,29.540000915527344,30.479999542236328,119300.0
2008-07-03,29.56999969482422,29.700000762939453,29.530000686645508,30.190000534057617,59600.0
2008-07-07,29.56999969482422,29.170000076293945,29.079999923706055,29.8799991607666,85500.0
2008-07-08,29.329999923706055,31.149999618530273,29.329999923706055,31.170000076293945,157800.0
2008-07-09,31.18000030517578,30.6200008392334,30.540000915527344,31.65999984741211,97300.0
2008-07-10,30.549999237060547,31.280000686645508,30.549999237060547,31.700000762939453,130800.0
2008-07-11,31.010000228881836,31.65999984741211,31.010000228881836,31.709999084472656,98600.0
2008-07-14,31.540000915527344,31.280000686645508,31.190000534057617,31.700000762939453,52400.0
2008-07-15,31.0,30.860000610351562,30.260000228881836,31.469999313354492,78000.0
2008-07-16,30.649999618530273,31.399999618530273,30.649999618530273,31.600000381469727,118900.0
2008-07-17,31.649999618530273,32.66999816894531,31.649999618530273,32.83000183105469,122800.0
2008-07-18,32.56999969482422,32.349998474121094,31.5,33.279998779296875,109400.0
2008-07-21,32.290000915527344,32.709999084472656,31.530000686645508,33.11000061035156,60400.0
2008-07-22,32.61000061035156,33.4900016784668,32.16999816894531,33.4900016784668,109100.0
2008-07-23,33.29999923706055,33.040000915527344,32.880001068115234,33.5,54500.0
2008-07-24,32.959999084472656,32.63999938964844,32.58000183105469,33.349998474121094,92400.0
