Date,txmdopen,txmdclose,txmdlow,txmdhigh,txmdvolume
2018-02-20,5.519999980926514,5.309999942779541,5.309999942779541,5.550000190734863,1564500
2018-02-21,5.349999904632568,5.110000133514404,4.900000095367432,5.639999866485596,3224000
2018-02-22,5.119999885559082,5.010000228881836,4.949999809265137,5.269999980926514,3035500
2018-02-23,5.010000228881836,5.369999885559082,4.960000038146973,5.380000114440918,1686100
2018-02-26,5.440000057220459,5.420000076293945,5.28000020980835,5.5,1322700
2018-02-27,5.420000076293945,5.269999980926514,5.25,5.53000020980835,1233900
2018-02-28,5.269999980926514,5.0,5.0,5.28000020980835,3152400
2018-03-01,5.0,4.989999771118164,4.96999979019165,5.179999828338623,2187800
2018-03-02,4.960000038146973,5.090000152587891,4.960000038146973,5.119999885559082,2219800
2018-03-05,5.090000152587891,5.199999809265137,5.010000228881836,5.21999979019165,1126900
2018-03-06,5.190000057220459,5.070000171661377,5.039999961853027,5.190000057220459,1233400
2018-03-07,5.050000190734863,5.190000057220459,5.019999980926514,5.260000228881836,1539400
2018-03-08,5.170000076293945,5.380000114440918,5.170000076293945,5.429999828338623,1862400
2018-03-09,5.46999979019165,5.46999979019165,5.369999885559082,5.690000057220459,5867400
2018-03-12,5.550000190734863,5.349999904632568,5.300000190734863,5.550000190734863,1863900
2018-03-13,5.550000190734863,5.28000020980835,5.260000228881836,5.550000190734863,1596500
2018-03-14,5.309999942779541,5.239999771118164,5.170000076293945,5.349999904632568,1551100
2018-03-15,5.269999980926514,5.159999847412109,5.139999866485596,5.300000190734863,1165900
2018-03-16,5.139999866485596,5.25,5.119999885559082,5.269999980926514,2160300
2018-03-19,5.210000038146973,5.190000057220459,5.110000133514404,5.230000019073486,837900
2018-03-20,5.190000057220459,5.099999904632568,5.03000020980835,5.269999980926514,1013200
2018-03-21,5.079999923706055,5.179999828338623,5.059999942779541,5.21999979019165,1061100
2018-03-22,5.170000076293945,5.010000228881836,5.010000228881836,5.210000038146973,1554100
2018-03-23,5.050000190734863,4.960000038146973,4.929999828338623,5.139999866485596,1594600
2018-03-26,5.050000190734863,5.019999980926514,4.760000228881836,5.059999942779541,2656500
2018-03-27,5.059999942779541,4.739999771118164,4.639999866485596,5.059999942779541,2077400
2018-03-28,4.75,5.050000190734863,4.75,5.239999771118164,3898800
2018-03-29,5.059999942779541,4.869999885559082,4.849999904632568,5.090000152587891,2413600
2018-04-02,4.820000171661377,4.789999961853027,4.71999979019165,4.889999866485596,1895000
2018-04-03,4.840000152587891,4.849999904632568,4.739999771118164,4.929999828338623,2228700
2018-04-04,4.809999942779541,5.139999866485596,4.809999942779541,5.170000076293945,2292400
2018-04-05,5.139999866485596,5.159999847412109,5.03000020980835,5.190000057220459,2874100
2018-04-06,5.090000152587891,5.059999942779541,5.010000228881836,5.179999828338623,1796100
2018-04-09,5.119999885559082,4.96999979019165,4.96999979019165,5.199999809265137,1809400
2018-04-10,5.050000190734863,5.170000076293945,4.96999979019165,5.239999771118164,2677200
2018-04-11,5.170000076293945,5.670000076293945,5.110000133514404,5.699999809265137,4560700
2018-04-12,5.710000038146973,5.539999961853027,5.46999979019165,5.789999961853027,1872900
2018-04-13,5.53000020980835,5.460000038146973,5.340000152587891,5.559999942779541,1369600
2018-04-16,5.510000228881836,5.53000020980835,5.449999809265137,5.630000114440918,1534400
2018-04-17,5.559999942779541,5.71999979019165,5.5,5.739999771118164,1716300
2018-04-18,5.760000228881836,5.820000171661377,5.630000114440918,5.920000076293945,1942000
