Date,osisopen,osisclose,osislow,osishigh,osisvolume
2017-05-02,78.80999755859375,78.19000244140625,77.76000213623047,79.2699966430664,225700
2017-05-03,78.05000305175781,77.30000305175781,77.16999816894531,78.79000091552734,168300
2017-05-04,77.30999755859375,77.6500015258789,76.58999633789062,77.9000015258789,173800
2017-05-05,77.94999694824219,78.37000274658203,77.16999816894531,78.54000091552734,92600
2017-05-08,78.19000244140625,78.5999984741211,77.5199966430664,78.87000274658203,119500
2017-05-09,78.69999694824219,78.37000274658203,77.87999725341797,78.98999786376953,97400
2017-05-10,78.91999816894531,79.2699966430664,78.11000061035156,79.80999755859375,111700
2017-05-11,78.94999694824219,78.87999725341797,78.44999694824219,79.31999969482422,88000
2017-05-12,78.61000061035156,77.54000091552734,77.52999877929688,78.7699966430664,98900
2017-05-15,77.87000274658203,78.16999816894531,77.62999725341797,78.56999969482422,186900
2017-05-16,78.44000244140625,78.0,77.63999938964844,78.62999725341797,121300
2017-05-17,77.31999969482422,76.87000274658203,76.48999786376953,77.68000030517578,138300
2017-05-18,76.80999755859375,76.58999633789062,76.52999877929688,77.5199966430664,108900
2017-05-19,76.80999755859375,77.01000213623047,75.11000061035156,77.63999938964844,132200
2017-05-22,77.19000244140625,77.58000183105469,77.0,77.66000366210938,51100
2017-05-23,77.97000122070312,77.5999984741211,77.22000122070312,78.11000061035156,60800
2017-05-24,77.73999786376953,78.12000274658203,77.37999725341797,78.48999786376953,147700
2017-05-25,78.23999786376953,80.2699966430664,78.04000091552734,80.81999969482422,149400
2017-05-26,80.87000274658203,79.5999984741211,79.5,80.87999725341797,60100
2017-05-30,79.55000305175781,79.22000122070312,79.0999984741211,79.98999786376953,92700
2017-05-31,79.4000015258789,79.19000244140625,78.2300033569336,79.4000015258789,77400
2017-06-01,79.5199966430664,80.20999908447266,78.37000274658203,80.55999755859375,157000
2017-06-02,80.58000183105469,81.80000305175781,80.51000213623047,82.26000213623047,141200
2017-06-05,81.43000030517578,80.37000274658203,80.31999969482422,81.72000122070312,93500
2017-06-06,80.20999908447266,79.70999908447266,79.6500015258789,80.66999816894531,136200
2017-06-07,79.58999633789062,78.38999938964844,78.31999969482422,80.08000183105469,111000
2017-06-08,78.16000366210938,78.66999816894531,77.58000183105469,78.91000366210938,191700
2017-06-09,78.69999694824219,78.91999816894531,78.27999877929688,79.9000015258789,103500
2017-06-12,78.55000305175781,78.51000213623047,77.61000061035156,78.86000061035156,93300
2017-06-13,78.69000244140625,77.73999786376953,77.63999938964844,78.94999694824219,66200
2017-06-14,77.72000122070312,76.0999984741211,76.05000305175781,77.80000305175781,147600
2017-06-15,75.36000061035156,75.19999694824219,74.58000183105469,75.80000305175781,136600
2017-06-16,74.80000305175781,74.87999725341797,74.52999877929688,75.31999969482422,364700
2017-06-19,75.1500015258789,74.88999938964844,74.79000091552734,75.51000213623047,127700
2017-06-20,74.6500015258789,73.11000061035156,72.91000366210938,75.22000122070312,141300
2017-06-21,73.16999816894531,73.20999908447266,72.43000030517578,75.80999755859375,199400
2017-06-22,73.0999984741211,73.66000366210938,72.0999984741211,74.83999633789062,161800
2017-06-23,73.62000274658203,74.30000305175781,73.08000183105469,74.91000366210938,713200
2017-06-26,74.68000030517578,74.7300033569336,74.0,75.12000274658203,113300
