Date,abcdopen,abcdclose,abcdlow,abcdhigh,abcdvolume
2015-03-25,3.240000009536743,3.200000047683716,3.119999885559082,3.240000009536743,48000
2015-03-26,3.2100000381469727,3.2200000286102295,3.200000047683716,3.299999952316284,36800
2015-03-27,3.190000057220459,3.190000057220459,2.9700000286102295,3.2699999809265137,33400
2015-03-30,3.200000047683716,3.1700000762939453,3.0999999046325684,3.200000047683716,46300
2015-03-31,3.130000114440918,3.1600000858306885,3.130000114440918,3.4000000953674316,45000
2015-04-01,3.1700000762939453,3.200000047683716,3.140000104904175,3.2200000286102295,28900
2015-04-02,3.240000009536743,3.190000057220459,3.1600000858306885,3.240000009536743,18800
2015-04-06,3.2300000190734863,3.140000104904175,3.140000104904175,3.2300000190734863,6200
2015-04-07,3.1500000953674316,3.069999933242798,3.009999990463257,3.1600000858306885,47600
2015-04-08,3.0399999618530273,2.9800000190734863,2.9700000286102295,3.069999933242798,62200
2015-04-09,3.059999942779541,3.0899999141693115,3.0199999809265137,3.0899999141693115,19600
2015-04-10,3.049999952316284,3.0399999618530273,2.9700000286102295,3.069999933242798,113200
2015-04-13,3.049999952316284,2.990000009536743,2.8499999046325684,3.049999952316284,41500
2015-04-14,2.9700000286102295,2.990000009536743,2.9000000953674316,3.0299999713897705,17400
2015-04-15,2.9600000381469727,3.0,2.8499999046325684,3.0299999713897705,12700
2015-04-16,2.9600000381469727,2.990000009536743,2.9600000381469727,3.0399999618530273,4900
2015-04-17,2.9800000190734863,3.0,2.930000066757202,3.0199999809265137,13500
2015-04-20,3.119999885559082,3.1500000953674316,3.109999895095825,3.25,383800
2015-04-21,3.200000047683716,3.0999999046325684,3.049999952316284,3.2200000286102295,137100
2015-04-22,3.130000114440918,3.0,3.0,3.130000114440918,79000
2015-04-23,3.0799999237060547,3.0,3.0,3.0799999237060547,29400
2015-04-24,3.0,3.0999999046325684,2.9700000286102295,3.1500000953674316,101100
2015-04-27,3.069999933242798,3.0299999713897705,3.0299999713897705,3.200000047683716,34900
2015-04-28,3.0,3.069999933242798,2.990000009536743,3.0799999237060547,18900
2015-04-29,3.0399999618530273,3.0,2.950000047683716,3.0399999618530273,38500
2015-04-30,2.9800000190734863,2.950000047683716,2.890000104904175,3.0199999809265137,17900
2015-05-01,2.9100000858306885,2.950000047683716,2.9100000858306885,3.049999952316284,10300
2015-05-04,2.950000047683716,2.9600000381469727,2.9200000762939453,3.109999895095825,19600
2015-05-05,3.0,2.9700000286102295,2.950000047683716,3.0,11600
2015-05-06,2.9800000190734863,2.9800000190734863,2.950000047683716,3.0399999618530273,21700
2015-05-07,2.9700000286102295,2.9800000190734863,2.9700000286102295,3.009999990463257,6500
2015-05-08,3.059999942779541,2.9700000286102295,2.950000047683716,3.069999933242798,10200
2015-05-11,3.0,2.9800000190734863,2.9600000381469727,3.0199999809265137,4400
2015-05-12,2.9800000190734863,2.9700000286102295,2.950000047683716,3.0,25600
2015-05-13,3.059999942779541,2.990000009536743,2.940000057220459,3.059999942779541,11900
2015-05-14,2.950000047683716,3.0,2.930000066757202,3.0799999237060547,41100
2015-05-15,3.180000066757202,3.3299999237060547,3.0999999046325684,3.3399999141693115,494000
2015-05-18,3.369999885559082,3.7799999713897705,3.369999885559082,3.809999942779541,271700
2015-05-19,3.7300000190734863,3.6500000953674316,3.5999999046325684,3.7799999713897705,57200
2015-05-20,3.690000057220459,3.7300000190734863,3.609999895095825,3.9700000286102295,95000
2015-05-21,3.809999942779541,3.7899999618530273,3.75,3.859999895095825,20500
2015-05-22,3.809999942779541,3.8399999141693115,3.809999942779541,3.950000047683716,62700
2015-05-26,3.880000114440918,3.8399999141693115,3.690000057220459,3.890000104904175,25600
2015-05-27,3.809999942779541,3.740000009536743,3.740000009536743,3.8499999046325684,38700
2015-05-28,3.690000057220459,3.8399999141693115,3.690000057220459,3.8399999141693115,15600
2015-05-29,3.8299999237060547,4.21999979019165,3.799999952316284,4.21999979019165,141600
2015-06-01,4.349999904632568,4.039999961853027,3.7899999618530273,4.449999809265137,109200
2015-06-02,4.059999942779541,4.0,3.9700000286102295,4.079999923706055,56500
2015-06-03,4.059999942779541,4.130000114440918,3.950000047683716,4.230000019073486,100200
