Date,gwropen,gwrclose,gwrlow,gwrhigh,gwrvolume
2008-10-16,26.459999084472656,29.09000015258789,24.540000915527344,29.110000610351562,610600
2008-10-17,27.84000015258789,27.25,26.700000762939453,29.690000534057617,781200
2008-10-20,27.579999923706055,28.889999389648438,27.329999923706055,28.889999389648438,431500
2008-10-21,28.510000228881836,28.729999542236328,28.18000030517578,29.889999389648438,276500
2008-10-22,27.809999465942383,27.520000457763672,26.670000076293945,29.25,470000
2008-10-23,27.850000381469727,31.100000381469727,27.31999969482422,31.209999084472656,1041800
2008-10-24,28.1200008392334,28.940000534057617,28.010000228881836,30.1299991607666,663100
2008-10-27,28.530000686645508,26.25,26.25,29.399999618530273,410000
2008-10-28,26.969999313354492,28.809999465942383,26.600000381469727,28.829999923706055,677100
2008-10-29,29.0,29.850000381469727,28.229999542236328,31.93000030517578,408600
2008-10-30,30.809999465942383,31.31999969482422,30.270000457763672,31.799999237060547,425700
2008-10-31,31.040000915527344,33.349998474121094,30.440000534057617,33.470001220703125,717100
2008-11-03,34.25,34.11000061035156,33.83000183105469,37.0,865500
2008-11-04,35.470001220703125,36.369998931884766,34.75,37.58000183105469,424800
2008-11-05,35.93000030517578,32.880001068115234,32.56999969482422,36.70000076293945,626900
2008-11-06,32.209999084472656,32.16999816894531,31.010000228881836,32.720001220703125,494400
2008-11-07,32.41999816894531,32.70000076293945,31.75,34.209999084472656,331600
2008-11-10,33.7599983215332,33.33000183105469,33.060001373291016,34.47999954223633,486000
2008-11-11,33.0,33.150001525878906,32.18000030517578,34.27000045776367,649500
2008-11-12,32.4900016784668,30.209999084472656,30.020000457763672,32.88999938964844,571700
2008-11-13,30.0,32.349998474121094,27.290000915527344,32.38999938964844,864100
2008-11-14,31.719999313354492,29.1299991607666,29.1200008392334,32.130001068115234,349200
2008-11-17,28.770000457763672,29.68000030517578,28.020000457763672,30.760000228881836,314600
2008-11-18,29.68000030517578,27.65999984741211,26.90999984741211,30.100000381469727,432100
2008-11-19,27.559999465942383,24.639999389648438,24.440000534057617,27.579999923706055,627900
2008-11-20,24.459999084472656,24.219999313354492,22.530000686645508,25.700000762939453,1141600
2008-11-21,24.670000076293945,25.0,22.559999465942383,25.100000381469727,475000
2008-11-24,26.020000457763672,27.030000686645508,25.329999923706055,27.489999771118164,471300
2008-11-25,27.84000015258789,27.969999313354492,26.950000762939453,28.309999465942383,381000
2008-11-26,27.969999313354492,30.280000686645508,27.760000228881836,30.299999237060547,586600
2008-11-28,29.739999771118164,30.3799991607666,29.6200008392334,30.43000030517578,146700
2008-12-01,29.149999618530273,27.459999084472656,27.200000762939453,29.670000076293945,602900
2008-12-02,28.059999465942383,29.030000686645508,27.700000762939453,29.56999969482422,567700
2008-12-03,28.149999618530273,29.93000030517578,27.649999618530273,30.440000534057617,531000
2008-12-04,29.329999923706055,29.0,28.18000030517578,31.139999389648438,508300
2008-12-05,28.559999465942383,29.540000915527344,26.809999465942383,29.549999237060547,420100
2008-12-08,30.450000762939453,32.209999084472656,30.450000762939453,32.470001220703125,518700
2008-12-09,32.33000183105469,31.280000686645508,30.739999771118164,33.189998626708984,510400
2008-12-10,31.610000610351562,32.56999969482422,31.540000915527344,32.880001068115234,238700
2008-12-11,32.150001525878906,28.809999465942383,28.34000015258789,32.150001525878906,519500
2008-12-12,28.81999969482422,28.549999237060547,27.65999984741211,28.899999618530273,418000
2008-12-15,28.8799991607666,27.239999771118164,26.860000610351562,28.8799991607666,552200
2008-12-16,27.780000686645508,28.3799991607666,27.209999084472656,28.739999771118164,580100
2008-12-17,28.520000457763672,30.690000534057617,27.729999542236328,30.799999237060547,530700
2008-12-18,30.81999969482422,29.6299991607666,29.229999542236328,31.93000030517578,620100
2008-12-19,30.030000686645508,28.68000030517578,28.5,30.610000610351562,574300
2008-12-22,28.93000030517578,28.510000228881836,27.540000915527344,28.940000534057617,338600
2008-12-23,28.520000457763672,27.540000915527344,27.0,28.65999984741211,248200
2008-12-24,28.149999618530273,26.530000686645508,26.299999237060547,28.149999618530273,204000
2008-12-26,26.780000686645508,27.510000228881836,26.75,27.559999465942383,140900
2008-12-29,27.8700008392334,27.670000076293945,27.020000457763672,27.8700008392334,318500
2008-12-30,27.889999389648438,28.850000381469727,27.799999237060547,28.90999984741211,274000
2008-12-31,29.1299991607666,30.5,29.010000228881836,30.700000762939453,391500
2009-01-02,30.06999969482422,31.540000915527344,30.06999969482422,32.08000183105469,416500
2009-01-05,31.420000076293945,31.309999465942383,30.579999923706055,32.43000030517578,371900
2009-01-06,31.549999237060547,32.0,31.3700008392334,32.31999969482422,390100
2009-01-07,31.5,29.899999618530273,29.25,31.5,386600
