Date,lglopen,lglclose,lgllow,lglhigh,lglvolume
2018-08-29,7.78000020980835,7.539999961853027,7.519999980926514,7.78000020980835,11500
2018-08-30,7.380000114440918,7.650000095367432,7.210000038146973,7.650000095367432,5100
2018-08-31,7.53000020980835,7.619999885559082,7.400000095367432,7.650000095367432,9500
2018-09-04,7.510000228881836,7.480000019073486,7.460000038146973,7.630000114440918,5100
2018-09-05,7.639999866485596,7.349999904632568,7.199999809265137,7.639999866485596,7600
2018-09-06,7.420000076293945,7.269999980926514,7.239999771118164,7.429999828338623,6000
2018-09-07,7.210000038146973,6.949999809265137,6.699999809265137,7.309999942779541,14100
2018-09-10,7.0,7.099999904632568,6.730000019073486,7.230000019073486,42200
2018-09-11,7.099999904632568,7.0,7.0,7.150000095367432,6600
2018-09-12,7.130000114440918,6.989999771118164,6.980000019073486,7.139999866485596,1500
2018-09-13,7.150000095367432,7.019999980926514,7.019999980926514,7.150000095367432,5100
2018-09-14,7.480000019073486,7.309999942779541,7.159999847412109,7.480000019073486,6900
2018-09-17,7.5,7.449999809265137,7.289999961853027,7.5,15800
2018-09-18,7.349999904632568,7.289999961853027,7.289999961853027,7.369999885559082,2200
2018-09-19,7.289999961853027,7.329999923706055,7.289999961853027,7.409999847412109,3400
2018-09-20,7.170000076293945,7.269999980926514,7.170000076293945,7.269999980926514,2300
2018-09-21,7.269999980926514,7.010000228881836,7.010000228881836,7.269999980926514,6800
2018-09-24,7.119999885559082,6.909999847412109,6.820000171661377,7.119999885559082,16700
2018-09-25,6.769999980926514,6.900000095367432,6.769999980926514,7.210000038146973,7400
2018-09-26,6.949999809265137,7.0,6.900000095367432,7.090000152587891,7200
2018-09-27,7.070000171661377,7.050000190734863,6.949999809265137,7.070000171661377,3600
2018-09-28,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,600
2018-10-01,7.099999904632568,6.840000152587891,6.840000152587891,7.239999771118164,5300
2018-10-02,6.860000133514404,7.21999979019165,6.860000133514404,7.230000019073486,5600
2018-10-03,7.099999904632568,7.190000057220459,7.0,7.190000057220459,4300
2018-10-04,7.210000038146973,7.150000095367432,7.039999961853027,7.210000038146973,1200
2018-10-05,7.210000038146973,7.0,6.929999828338623,7.210000038146973,8500
2018-10-08,6.909999847412109,6.940000057220459,6.909999847412109,6.96999979019165,1500
2018-10-09,7.059999942779541,6.900000095367432,6.900000095367432,7.099999904632568,3000
2018-10-10,6.940000057220459,6.829999923706055,6.829999923706055,7.039999961853027,6200
2018-10-11,6.829999923706055,6.800000190734863,6.800000190734863,6.980000019073486,10000
2018-10-12,6.800000190734863,6.849999904632568,6.800000190734863,6.869999885559082,4800
2018-10-15,6.96999979019165,6.800000190734863,6.800000190734863,6.96999979019165,2500
2018-10-16,6.849999904632568,6.900000095367432,6.849999904632568,6.940000057220459,4800
2018-10-17,6.860000133514404,6.840000152587891,6.800000190734863,6.889999866485596,3200
2018-10-18,6.840000152587891,6.840000152587891,6.840000152587891,6.849999904632568,400
2018-10-19,6.929999828338623,6.75,6.75,6.929999828338623,2600
2018-10-22,6.75,6.75,6.75,6.75,0
2018-10-23,6.699999809265137,6.699999809265137,6.699999809265137,6.78000020980835,1300
2018-10-24,6.699999809265137,6.699999809265137,6.699999809265137,6.739999771118164,1500
2018-10-25,6.679999828338623,6.639999866485596,6.639999866485596,6.710000038146973,2900
2018-10-26,6.639999866485596,6.260000228881836,6.119999885559082,6.699999809265137,25200
2018-10-29,6.349999904632568,6.260000228881836,6.199999809265137,6.400000095367432,5900
2018-10-30,6.139999866485596,6.019999980926514,6.019999980926514,6.190000057220459,9600
2018-10-31,6.010000228881836,6.099999904632568,6.010000228881836,6.199999809265137,2300
2018-11-01,6.150000095367432,6.179999828338623,6.150000095367432,6.25,12500
2018-11-02,6.25,6.25,6.099999904632568,6.269999980926514,7800
2018-11-05,6.5,6.28000020980835,6.28000020980835,6.5,4500
2018-11-06,6.300000190734863,6.53000020980835,6.179999828338623,6.53000020980835,4300
2018-11-07,6.5,6.429999828338623,6.199999809265137,6.889999866485596,51900
2018-11-08,7.070000171661377,7.059999942779541,6.949999809265137,7.25,35300
2018-11-09,7.0,6.849999904632568,6.829999923706055,7.099999904632568,23700
