Date,cmiopen,cmiclose,cmilow,cmihigh,cmivolume
2008-06-05,70.58000183105469,69.9800033569336,68.7300033569336,70.98999786376953,1872000.0
2008-06-06,69.41000366210938,67.08000183105469,66.9000015258789,69.51000213623047,3020500.0
2008-06-09,67.77999877929688,65.58999633789062,64.0999984741211,68.1500015258789,3977400.0
2008-06-10,64.98999786376953,65.5,64.54000091552734,66.70999908447266,2013000.0
2008-06-11,65.5,63.130001068115234,62.56999969482422,65.5,2562900.0
2008-06-12,67.27999877929688,69.37999725341797,67.27999877929688,72.88999938964844,7551400.0
2008-06-13,70.26000213623047,72.38999938964844,70.26000213623047,74.2300033569336,5458700.0
2008-06-16,72.44999694824219,73.87000274658203,72.4000015258789,75.08999633789062,3635500.0
2008-06-17,74.76000213623047,73.05000305175781,72.58000183105469,74.9000015258789,2231700.0
2008-06-18,72.37000274658203,71.87000274658203,70.47000122070312,72.95999908447266,2091500.0
2008-06-19,72.0,72.37000274658203,70.7300033569336,73.0,1616100.0
2008-06-20,72.47000122070312,70.66000366210938,70.08999633789062,72.4800033569336,2687000.0
2008-06-23,73.26000213623047,73.58000183105469,72.3499984741211,74.97000122070312,4210600.0
2008-06-24,73.30999755859375,70.8499984741211,70.22000122070312,73.55000305175781,2954600.0
2008-06-25,71.0,72.56999969482422,70.43000030517578,73.37000274658203,2682200.0
2008-06-26,71.88999938964844,66.69999694824219,66.45999908447266,71.88999938964844,5162200.0
2008-06-27,66.44000244140625,64.33999633789062,63.77000045776367,66.44000244140625,4458600.0
2008-06-30,64.31999969482422,65.5199966430664,62.959999084472656,66.55999755859375,3247400.0
2008-07-01,64.66000366210938,65.08999633789062,62.41999816894531,66.12000274658203,4708500.0
2008-07-02,65.37999725341797,61.77000045776367,61.59000015258789,67.08000183105469,4170100.0
2008-07-03,61.040000915527344,61.720001220703125,61.040000915527344,62.54999923706055,2474700.0
2008-07-07,61.75,64.05000305175781,61.5099983215332,64.68000030517578,5099100.0
2008-07-08,64.3499984741211,65.7300033569336,62.970001220703125,65.94000244140625,5407200.0
2008-07-09,66.5999984741211,65.12999725341797,65.0199966430664,66.9800033569336,3473700.0
2008-07-10,65.0,66.0999984741211,63.5,67.08000183105469,2986900.0
2008-07-11,65.20999908447266,65.94999694824219,63.779998779296875,67.94999694824219,3011500.0
2008-07-14,66.88999938964844,67.31999969482422,65.94999694824219,67.68000030517578,2880400.0
2008-07-15,65.66000366210938,63.470001220703125,61.63999938964844,65.69999694824219,5677300.0
2008-07-16,63.47999954223633,65.0199966430664,62.939998626708984,67.6500015258789,4844700.0
2008-07-17,65.9000015258789,67.31999969482422,65.30999755859375,68.0999984741211,2834800.0
2008-07-18,67.25,66.31999969482422,65.45999908447266,68.47000122070312,1880400.0
2008-07-21,66.51000213623047,69.30999755859375,66.51000213623047,69.44000244140625,2881200.0
2008-07-22,68.5999984741211,70.05000305175781,68.30000305175781,70.45999908447266,3362500.0
2008-07-23,70.19000244140625,69.73999786376953,69.48999786376953,72.48999786376953,3673100.0
2008-07-24,69.75,65.37000274658203,65.16999816894531,69.75,3445400.0
2008-07-25,66.48999786376953,66.02999877929688,65.0,66.55999755859375,2017700.0
2008-07-28,66.69000244140625,64.41000366210938,64.08000183105469,67.5,2897400.0
2008-07-29,64.8499984741211,66.0199966430664,62.65999984741211,66.43000030517578,3442000.0
2008-07-30,71.7699966430664,70.5,69.87000274658203,75.9800033569336,7758500.0
2008-07-31,69.9000015258789,66.33999633789062,66.05999755859375,69.9000015258789,4901600.0
2008-08-01,67.19999694824219,67.63999938964844,65.76000213623047,68.30999755859375,3105200.0
2008-08-04,67.13999938964844,66.16999816894531,65.02999877929688,67.33000183105469,2782300.0
2008-08-05,66.9800033569336,67.66000366210938,66.80000305175781,68.36000061035156,2192400.0
2008-08-06,67.3499984741211,70.23999786376953,65.95999908447266,70.61000061035156,2813400.0
2008-08-07,69.2699966430664,68.55000305175781,68.2699966430664,69.83999633789062,2551800.0
2008-08-08,67.86000061035156,69.7699966430664,66.80999755859375,70.9800033569336,2438700.0
2008-08-11,69.7699966430664,73.22000122070312,68.44999694824219,74.0,2723700.0
2008-08-12,72.97000122070312,70.51000213623047,70.12999725341797,73.44999694824219,2537200.0
2008-08-13,70.0,70.8499984741211,68.8499984741211,71.52999877929688,2375900.0
2008-08-14,70.47000122070312,70.98999786376953,69.30999755859375,71.91999816894531,1850400.0
2008-08-15,70.37000274658203,70.0,69.51000213623047,71.11000061035156,1975500.0
2008-08-18,70.0,68.79000091552734,68.23999786376953,71.0,1403700.0
2008-08-19,68.26000213623047,66.62000274658203,65.94999694824219,68.73999786376953,2287000.0
2008-08-20,66.5999984741211,67.51000213623047,65.2699966430664,67.5999984741211,2405200.0
2008-08-21,66.56999969482422,65.44999694824219,64.70999908447266,66.69000244140625,1736900.0
2008-08-22,65.93000030517578,66.48999786376953,65.0,66.87000274658203,1905200.0
2008-08-25,66.7300033569336,65.94999694824219,65.80999755859375,67.6500015258789,1886100.0
2008-08-26,66.0199966430664,64.58000183105469,63.439998626708984,66.55000305175781,3051500.0
